month,service_center_id,service_type,job_category,model_id,variant_id,total_orders,completed_orders,breached_orders,sla_target_hours,avg_resolution_hours,p90_resolution_hours,backlog_open_orders,parts_wait_orders,repeat_repair_orders,cancelled_orders
2024-04-01,SVC004,Running Repair,Electrical,,,6,3,1,72.00,58.07,96.10,2,1,1,1
2024-04-01,SVC004,Running Repair,Maintenance,,,2,0,0,48.00,36.02,64.03,1,0,1,1
2024-04-01,SVC004,Running Repair,Mechanical,,,7,5,1,48.00,36.08,64.12,1,0,0,1
2024-04-01,SVC004,Warranty Repair,Body Repair,,,6,4,1,96.00,80.07,122.10,1,0,0,1
2024-04-01,SVC004,Warranty Repair,Campaign,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC004,Warranty Repair,Diagnostics,,,3,2,0,48.00,36.03,64.05,0,0,0,1
2024-04-01,SVC004,Warranty Repair,Electrical,,,2,1,0,72.00,58.02,96.03,0,0,0,1
2024-04-01,SVC004,Warranty Repair,Maintenance,,,1,0,0,48.00,36.01,64.02,0,0,0,1
2024-04-01,SVC004,Warranty Repair,Mechanical,,,2,1,0,48.00,36.02,64.03,1,0,0,0
2024-04-01,SVC005,Accident Repair,Body Repair,,,20,11,3,96.00,80.22,122.33,3,1,4,6
2024-04-01,SVC005,Inspection,Body Repair,,,2,1,0,96.00,80.02,122.03,0,0,0,1
2024-04-01,SVC005,Inspection,Campaign,,,6,4,0,48.00,36.07,64.10,1,0,0,1
2024-04-01,SVC005,Inspection,Diagnostics,,,3,3,0,48.00,36.03,64.05,0,0,1,0
2024-04-01,SVC005,Inspection,Electrical,,,10,8,1,72.00,58.11,96.17,1,1,0,1
2024-04-01,SVC005,Inspection,Maintenance,,,4,3,0,48.00,36.04,64.07,0,0,0,1
2024-04-01,SVC005,Inspection,Mechanical,,,4,2,0,48.00,36.04,64.07,1,0,0,1
2024-04-01,SVC005,Periodic Service,Body Repair,,,4,3,0,96.00,80.04,122.07,0,0,0,1
2024-04-01,SVC005,Periodic Service,Campaign,,,3,3,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC005,Periodic Service,Diagnostics,,,4,3,1,48.00,36.04,64.07,0,0,2,1
2024-04-01,SVC005,Periodic Service,Maintenance,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC005,Periodic Service,Mechanical,,,4,2,0,48.00,36.04,64.07,0,0,0,2
2024-04-01,SVC005,Recall Campaign,Campaign,,,15,8,1,48.00,36.17,64.25,3,1,0,4
2024-04-01,SVC005,Running Repair,Body Repair,,,2,1,0,96.00,80.02,122.03,0,0,0,1
2024-04-01,SVC005,Running Repair,Campaign,,,3,2,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC005,Running Repair,Diagnostics,,,4,2,0,48.00,36.04,64.07,1,0,0,1
2024-04-01,SVC005,Running Repair,Electrical,,,4,4,0,72.00,58.04,96.07,0,0,0,0
2024-04-01,SVC005,Running Repair,Maintenance,,,5,1,0,48.00,36.06,64.08,2,0,0,2
2024-04-01,SVC005,Running Repair,Mechanical,,,3,2,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC005,Warranty Repair,Body Repair,,,3,1,1,96.00,80.03,122.05,1,0,1,1
2024-04-01,SVC005,Warranty Repair,Diagnostics,,,2,1,0,48.00,36.02,64.03,0,0,0,1
2024-04-01,SVC005,Warranty Repair,Electrical,,,4,2,0,72.00,58.04,96.07,2,0,0,0
2024-04-01,SVC005,Warranty Repair,Maintenance,,,2,0,0,48.00,36.02,64.03,1,0,0,1
2024-04-01,SVC005,Warranty Repair,Mechanical,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC006,Accident Repair,Body Repair,,,22,16,3,96.00,80.24,122.35,3,1,2,3
2024-04-01,SVC006,Inspection,Body Repair,,,5,3,0,96.00,80.05,122.08,0,0,0,2
2024-04-01,SVC006,Inspection,Campaign,,,5,4,0,48.00,36.05,64.08,1,0,0,0
2024-04-01,SVC006,Inspection,Diagnostics,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC006,Inspection,Electrical,,,4,3,0,72.00,58.04,96.06,1,0,0,0
2024-04-01,SVC006,Inspection,Maintenance,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC006,Inspection,Mechanical,,,2,1,0,48.00,36.02,64.03,1,0,0,0
2024-04-01,SVC006,Periodic Service,Body Repair,,,1,1,0,96.00,80.01,122.02,0,0,0,0
2024-04-01,SVC006,Periodic Service,Campaign,,,4,3,0,48.00,36.04,64.06,1,0,0,0
2024-04-01,SVC006,Periodic Service,Diagnostics,,,6,6,0,48.00,36.06,64.10,0,0,0,0
2024-04-01,SVC006,Periodic Service,Electrical,,,3,2,0,72.00,58.03,96.05,0,0,0,1
2024-04-01,SVC006,Periodic Service,Maintenance,,,4,3,0,48.00,36.04,64.06,1,0,1,0
2024-04-01,SVC006,Periodic Service,Mechanical,,,4,4,0,48.00,36.04,64.06,0,0,0,0
2024-04-01,SVC006,Recall Campaign,Campaign,,,21,13,1,48.00,36.23,64.34,5,1,1,3
2024-04-01,SVC006,Running Repair,Body Repair,,,2,2,0,96.00,80.02,122.03,0,0,0,0
2024-04-01,SVC006,Running Repair,Campaign,,,4,3,1,48.00,36.04,64.06,1,0,1,0
2024-04-01,SVC006,Running Repair,Diagnostics,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC006,Running Repair,Electrical,,,7,2,1,72.00,58.08,96.11,2,1,0,3
2024-04-01,SVC006,Running Repair,Maintenance,,,3,1,1,48.00,36.03,64.05,2,0,1,0
2024-04-01,SVC006,Running Repair,Mechanical,,,5,4,1,48.00,36.05,64.08,0,0,1,1
2024-04-01,SVC006,Warranty Repair,Campaign,,,4,2,0,48.00,36.04,64.06,0,0,0,2
2024-04-01,SVC006,Warranty Repair,Diagnostics,,,3,3,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC006,Warranty Repair,Electrical,,,7,6,1,72.00,58.08,96.11,0,1,1,1
2024-04-01,SVC006,Warranty Repair,Maintenance,,,7,3,1,48.00,36.08,64.11,2,0,0,2
2024-04-01,SVC006,Warranty Repair,Mechanical,,,4,3,0,48.00,36.04,64.06,1,0,0,0
2024-04-01,SVC007,Accident Repair,Body Repair,,,20,10,3,96.00,80.21,122.31,8,1,2,2
2024-04-01,SVC007,Inspection,Body Repair,,,3,2,0,96.00,80.03,122.05,0,0,0,1
2024-04-01,SVC007,Inspection,Campaign,,,4,3,0,48.00,36.04,64.06,1,0,1,0
2024-04-01,SVC007,Inspection,Diagnostics,,,5,5,1,48.00,36.05,64.08,0,0,1,0
2024-04-01,SVC007,Inspection,Electrical,,,6,2,0,72.00,58.06,96.09,2,1,0,2
2024-04-01,SVC007,Inspection,Maintenance,,,3,2,0,48.00,36.03,64.05,1,0,1,0
2024-04-01,SVC007,Inspection,Mechanical,,,3,1,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC007,Periodic Service,Body Repair,,,1,0,0,96.00,80.01,122.02,0,0,0,1
2024-04-01,SVC007,Periodic Service,Campaign,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC007,Periodic Service,Diagnostics,,,3,3,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC007,Periodic Service,Electrical,,,1,1,0,72.00,58.01,96.02,0,0,0,0
2024-04-01,SVC007,Periodic Service,Maintenance,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC007,Periodic Service,Mechanical,,,4,1,0,48.00,36.04,64.06,2,0,0,1
2024-04-01,SVC007,Recall Campaign,Campaign,,,21,14,2,48.00,36.22,64.33,6,1,2,1
2024-04-01,SVC007,Running Repair,Body Repair,,,7,3,1,96.00,80.07,122.11,3,0,0,1
2024-04-01,SVC007,Running Repair,Campaign,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC007,Running Repair,Electrical,,,4,3,0,72.00,58.04,96.06,0,0,0,1
2024-04-01,SVC007,Running Repair,Mechanical,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC007,Warranty Repair,Body Repair,,,4,3,1,96.00,80.04,122.06,1,0,1,0
2024-04-01,SVC007,Warranty Repair,Campaign,,,3,2,0,48.00,36.03,64.05,0,0,0,1
2024-04-01,SVC007,Warranty Repair,Diagnostics,,,4,3,0,48.00,36.04,64.06,0,0,0,1
2024-04-01,SVC007,Warranty Repair,Electrical,,,2,2,0,72.00,58.02,96.03,0,0,0,0
2024-04-01,SVC007,Warranty Repair,Maintenance,,,3,1,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC007,Warranty Repair,Mechanical,,,3,2,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC008,Accident Repair,Body Repair,,,27,20,3,96.00,80.27,122.41,4,2,1,3
2024-04-01,SVC008,Inspection,Body Repair,,,2,1,0,96.00,80.02,122.03,0,0,0,1
2024-04-01,SVC008,Inspection,Campaign,,,6,3,1,48.00,36.06,64.09,0,0,1,3
2024-04-01,SVC008,Inspection,Diagnostics,,,6,4,0,48.00,36.06,64.09,1,0,0,1
2024-04-01,SVC008,Inspection,Electrical,,,5,3,0,72.00,58.05,96.08,0,1,0,2
2024-04-01,SVC008,Inspection,Maintenance,,,8,5,0,48.00,36.08,64.12,1,0,0,2
2024-04-01,SVC008,Inspection,Mechanical,,,5,4,1,48.00,36.05,64.08,1,0,2,0
2024-04-01,SVC008,Periodic Service,Body Repair,,,1,1,0,96.00,80.01,122.02,0,0,0,0
2024-04-01,SVC008,Periodic Service,Campaign,,,2,2,0,48.00,36.02,64.03,0,0,1,0
2024-04-01,SVC008,Periodic Service,Diagnostics,,,1,0,0,48.00,36.01,64.02,0,0,0,1
2024-04-01,SVC008,Periodic Service,Electrical,,,4,3,0,72.00,58.04,96.06,1,0,0,0
2024-04-01,SVC008,Periodic Service,Maintenance,,,5,4,1,48.00,36.05,64.08,0,0,1,1
2024-04-01,SVC008,Periodic Service,Mechanical,,,3,2,0,48.00,36.03,64.05,0,0,0,1
2024-04-01,SVC008,Recall Campaign,Campaign,,,17,7,1,48.00,36.17,64.26,5,1,2,5
2024-04-01,SVC008,Running Repair,Body Repair,,,5,3,1,96.00,80.05,122.08,2,0,0,0
2024-04-01,SVC008,Running Repair,Campaign,,,5,3,0,48.00,36.05,64.08,1,0,0,1
2024-04-01,SVC008,Running Repair,Diagnostics,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC008,Running Repair,Electrical,,,3,2,0,72.00,58.03,96.05,1,0,0,0
2024-04-01,SVC008,Running Repair,Maintenance,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC008,Running Repair,Mechanical,,,4,3,1,48.00,36.04,64.06,1,0,1,0
2024-04-01,SVC008,Warranty Repair,Body Repair,,,3,1,0,96.00,80.03,122.05,1,0,0,1
2024-04-01,SVC008,Warranty Repair,Campaign,,,9,4,1,48.00,36.09,64.14,1,1,1,4
2024-04-01,SVC008,Warranty Repair,Diagnostics,,,5,3,0,48.00,36.05,64.08,0,0,0,2
2024-04-01,SVC008,Warranty Repair,Electrical,,,4,3,0,72.00,58.04,96.06,0,0,0,1
2024-04-01,SVC008,Warranty Repair,Maintenance,,,6,5,0,48.00,36.06,64.09,0,0,0,1
2024-04-01,SVC008,Warranty Repair,Mechanical,,,5,3,0,48.00,36.05,64.08,0,0,0,2
2024-04-01,SVC009,Accident Repair,Body Repair,,,24,16,4,96.00,80.24,122.35,4,1,5,4
2024-04-01,SVC009,Inspection,Body Repair,,,4,1,0,96.00,80.04,122.06,0,0,0,3
2024-04-01,SVC009,Inspection,Campaign,,,8,6,1,48.00,36.08,64.12,2,0,2,0
2024-04-01,SVC009,Inspection,Diagnostics,,,3,2,0,48.00,36.03,64.04,1,0,0,0
2024-04-01,SVC009,Inspection,Electrical,,,4,2,0,72.00,58.04,96.06,1,0,0,1
2024-04-01,SVC009,Inspection,Maintenance,,,8,6,0,48.00,36.08,64.12,0,0,0,2
2024-04-01,SVC009,Inspection,Mechanical,,,2,2,0,48.00,36.02,64.03,0,0,1,0
2024-04-01,SVC009,Periodic Service,Body Repair,,,4,3,1,96.00,80.04,122.06,1,0,1,0
2024-04-01,SVC009,Periodic Service,Campaign,,,2,0,0,48.00,36.02,64.03,1,0,0,1
2024-04-01,SVC009,Periodic Service,Diagnostics,,,2,2,0,48.00,36.02,64.03,0,0,1,0
2024-04-01,SVC009,Periodic Service,Electrical,,,5,3,0,72.00,58.05,96.07,1,1,0,1
2024-04-01,SVC009,Periodic Service,Maintenance,,,5,3,0,48.00,36.05,64.07,0,0,0,2
2024-04-01,SVC009,Periodic Service,Mechanical,,,2,0,0,48.00,36.02,64.03,1,0,0,1
2024-04-01,SVC009,Recall Campaign,Campaign,,,22,12,1,48.00,36.22,64.32,6,1,0,4
2024-04-01,SVC009,Running Repair,Body Repair,,,2,1,0,96.00,80.02,122.03,1,0,0,0
2024-04-01,SVC009,Running Repair,Campaign,,,2,2,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC009,Running Repair,Diagnostics,,,1,1,0,48.00,36.01,64.01,0,0,0,0
2024-04-01,SVC009,Running Repair,Electrical,,,3,2,0,72.00,58.03,96.04,1,0,0,0
2024-04-01,SVC009,Running Repair,Maintenance,,,2,1,0,48.00,36.02,64.03,0,0,0,1
2024-04-01,SVC009,Running Repair,Mechanical,,,3,1,0,48.00,36.03,64.04,1,0,0,1
2024-04-01,SVC009,Warranty Repair,Body Repair,,,2,2,1,96.00,80.02,122.03,0,0,1,0
2024-04-01,SVC009,Warranty Repair,Campaign,,,5,4,1,48.00,36.05,64.07,1,0,1,0
2024-04-01,SVC009,Warranty Repair,Diagnostics,,,7,6,1,48.00,36.07,64.10,0,0,0,1
2024-04-01,SVC009,Warranty Repair,Electrical,,,4,4,0,72.00,58.04,96.06,0,0,0,0
2024-04-01,SVC009,Warranty Repair,Maintenance,,,4,2,1,48.00,36.04,64.06,1,0,1,1
2024-04-01,SVC009,Warranty Repair,Mechanical,,,1,1,0,48.00,36.01,64.01,0,0,0,0
2024-04-01,SVC010,Accident Repair,Body Repair,,,13,9,1,96.00,80.20,122.30,4,1,0,0
2024-04-01,SVC010,Inspection,Body Repair,,,2,2,0,96.00,80.03,122.05,0,0,1,0
2024-04-01,SVC010,Inspection,Campaign,,,2,2,0,48.00,36.03,64.05,0,0,1,0
2024-04-01,SVC010,Inspection,Diagnostics,,,2,2,0,48.00,36.03,64.05,0,0,1,0
2024-04-01,SVC010,Inspection,Electrical,,,3,1,1,72.00,58.05,96.07,1,0,1,1
2024-04-01,SVC010,Inspection,Maintenance,,,2,1,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC010,Inspection,Mechanical,,,3,1,0,48.00,36.05,64.07,1,0,0,1
2024-04-01,SVC010,Periodic Service,Campaign,,,1,1,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC010,Periodic Service,Diagnostics,,,3,2,0,48.00,36.05,64.07,1,0,0,0
2024-04-01,SVC010,Periodic Service,Electrical,,,2,2,0,72.00,58.03,96.05,0,0,1,0
2024-04-01,SVC010,Periodic Service,Maintenance,,,2,2,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC010,Periodic Service,Mechanical,,,3,2,0,48.00,36.05,64.07,1,0,0,0
2024-04-01,SVC010,Recall Campaign,Campaign,,,19,16,1,48.00,36.29,64.44,2,1,0,1
2024-04-01,SVC010,Running Repair,Body Repair,,,4,4,0,96.00,80.06,122.09,0,0,0,0
2024-04-01,SVC010,Running Repair,Campaign,,,4,3,1,48.00,36.06,64.09,0,0,1,1
2024-04-01,SVC010,Running Repair,Diagnostics,,,1,0,0,48.00,36.02,64.02,0,0,0,1
2024-04-01,SVC010,Running Repair,Electrical,,,2,1,0,72.00,58.03,96.05,0,0,0,1
2024-04-01,SVC010,Running Repair,Maintenance,,,3,3,0,48.00,36.05,64.07,0,0,0,0
2024-04-01,SVC010,Running Repair,Mechanical,,,3,2,0,48.00,36.05,64.07,1,0,0,0
2024-04-01,SVC010,Warranty Repair,Body Repair,,,3,2,0,96.00,80.05,122.07,0,0,0,1
2024-04-01,SVC010,Warranty Repair,Campaign,,,1,1,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC010,Warranty Repair,Diagnostics,,,2,0,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC010,Warranty Repair,Electrical,,,3,3,0,72.00,58.05,96.07,0,0,0,0
2024-04-01,SVC010,Warranty Repair,Maintenance,,,1,1,0,48.00,36.02,64.02,0,0,1,0
2024-04-01,SVC010,Warranty Repair,Mechanical,,,1,1,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC011,Accident Repair,Body Repair,,,15,10,2,96.00,80.23,122.34,1,1,1,4
2024-04-01,SVC011,Inspection,Body Repair,,,1,1,0,96.00,80.02,122.02,0,0,0,0
2024-04-01,SVC011,Inspection,Campaign,,,1,1,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC011,Inspection,Diagnostics,,,4,3,0,48.00,36.06,64.09,1,0,0,0
2024-04-01,SVC011,Inspection,Electrical,,,1,1,0,72.00,58.02,96.02,0,0,0,0
2024-04-01,SVC011,Inspection,Maintenance,,,1,1,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC011,Inspection,Mechanical,,,4,4,0,48.00,36.06,64.09,0,0,0,0
2024-04-01,SVC011,Periodic Service,Body Repair,,,2,1,0,96.00,80.03,122.05,0,0,0,1
2024-04-01,SVC011,Periodic Service,Diagnostics,,,2,2,0,48.00,36.03,64.05,0,0,0,0
