service_order_id,order_date,month,service_center_id,model_id,variant_id,service_type,job_category,service_channel,status,warranty_flag,repeat_repair_flag,campaign_flag,appointment_flag,promised_delivery_date,completed_date,labor_hours,bay_hours
SO0000036,2025-12-17,2025-12-01,SVC001,MDL006,VAR036,Warranty Repair,Body Repair,Walk-in,Cancelled,true,false,false,true,2025-12-18,,7.9,6.3
SO0000037,2025-12-24,2025-12-01,SVC001,MDL007,VAR037,Periodic Service,Campaign,Pickup-Drop,Cancelled,false,false,false,false,2025-12-25,,3.2,2.6
SO0000038,2025-12-01,2025-12-01,SVC001,MDL007,VAR038,Recall Campaign,Campaign,Pickup-Drop,Completed,false,false,true,true,2025-12-02,2025-12-02,6.6,5.1
SO0000039,2025-12-20,2025-12-01,SVC001,MDL007,VAR039,Warranty Repair,Maintenance,Fleet,Completed,true,false,false,true,2025-12-21,2025-12-22,6.9,5.7
SO0000040,2025-12-30,2025-12-01,SVC001,MDL007,VAR040,Periodic Service,Maintenance,Fleet,Completed,false,false,false,true,2025-12-31,2025-12-30,1.6,1.4
SO0000041,2025-12-11,2025-12-01,SVC001,MDL007,VAR041,Running Repair,Campaign,Pickup-Drop,Completed,true,false,false,false,2025-12-12,2025-12-11,3.8,2.5
SO0000042,2025-12-19,2025-12-01,SVC001,MDL007,VAR042,Accident Repair,Body Repair,Pickup-Drop,Completed,false,false,false,false,2025-12-24,2025-12-23,13.1,10.9
SO0000043,2025-12-29,2025-12-01,SVC001,MDL008,VAR043,Recall Campaign,Campaign,Pickup-Drop,Completed,false,false,true,true,2025-12-30,2025-12-29,6.2,4.7
SO0000044,2025-12-11,2025-12-01,SVC001,MDL008,VAR044,Running Repair,Diagnostics,Appointment,Completed,false,false,false,true,2025-12-12,2025-12-11,4.1,2.9
SO0000045,2025-12-22,2025-12-01,SVC001,MDL008,VAR045,Periodic Service,Diagnostics,Fleet,Completed,false,true,false,true,2025-12-23,2025-12-22,2.4,2.2
SO0000046,2025-12-04,2025-12-01,SVC001,MDL008,VAR046,Running Repair,Diagnostics,Appointment,Cancelled,false,false,false,true,2025-12-05,,3.7,3.2
SO0000047,2025-12-23,2025-12-01,SVC001,MDL008,VAR047,Periodic Service,Maintenance,Fleet,Completed,false,false,false,true,2025-12-24,2025-12-23,2.0,1.5
SO0000048,2025-12-27,2025-12-01,SVC001,MDL008,VAR048,Accident Repair,Body Repair,Appointment,Completed,false,false,false,true,2026-01-01,2026-01-01,21.4,18.7
SO0000049,2025-12-04,2025-12-01,SVC001,MDL009,VAR049,Periodic Service,Mechanical,Fleet,Completed,false,true,false,false,2025-12-05,2025-12-06,2.4,2.0
SO0000050,2025-12-28,2025-12-01,SVC001,MDL009,VAR050,Running Repair,Body Repair,Walk-in,Completed,false,false,false,true,2025-12-29,2025-12-30,5.2,4.1
SO0000051,2025-12-13,2025-12-01,SVC001,MDL009,VAR051,Accident Repair,Body Repair,Fleet,Completed,false,false,false,true,2025-12-18,2025-12-21,22.4,18.8
SO0000052,2025-12-10,2025-12-01,SVC001,MDL009,VAR052,Inspection,Campaign,Fleet,Cancelled,true,false,false,false,2025-12-11,,3.4,3.0
SO0000053,2025-12-28,2025-12-01,SVC001,MDL009,VAR053,Running Repair,Maintenance,Walk-in,Completed,false,false,false,true,2025-12-29,2025-12-30,6.1,4.4
SO0000054,2025-12-28,2025-12-01,SVC001,MDL009,VAR054,Periodic Service,Electrical,Fleet,Open,false,false,false,false,2025-12-29,,2.9,1.9
SO0000055,2025-12-13,2025-12-01,SVC001,MDL010,VAR055,Recall Campaign,Campaign,Walk-in,Completed,false,false,true,true,2025-12-14,2025-12-15,2.3,1.6
SO0000056,2025-12-20,2025-12-01,SVC001,MDL010,VAR056,Inspection,Campaign,Pickup-Drop,Cancelled,false,true,false,true,2025-12-21,,7.2,5.1
SO0000057,2025-12-25,2025-12-01,SVC001,MDL010,VAR057,Warranty Repair,Body Repair,Fleet,Cancelled,true,false,false,false,2025-12-26,,3.0,2.4
SO0000058,2025-12-13,2025-12-01,SVC001,MDL010,VAR058,Recall Campaign,Campaign,Walk-in,Completed,false,false,true,true,2025-12-14,2025-12-15,7.5,5.1
SO0000059,2025-12-19,2025-12-01,SVC001,MDL010,VAR059,Recall Campaign,Campaign,Fleet,Completed,false,false,true,true,2025-12-20,2025-12-19,4.9,4.0
SO0000060,2025-12-06,2025-12-01,SVC001,MDL010,VAR060,Inspection,Electrical,Walk-in,Completed,false,false,false,true,2025-12-07,2025-12-08,3.8,2.5
SO0000061,2025-12-03,2025-12-01,SVC001,MDL011,VAR061,Periodic Service,Maintenance,Walk-in,Open,false,false,false,false,2025-12-04,,2.8,2.3
SO0000062,2025-12-15,2025-12-01,SVC001,MDL011,VAR062,Running Repair,Mechanical,Fleet,Completed,false,true,false,true,2025-12-16,2025-12-17,5.3,4.5
SO0000063,2025-12-05,2025-12-01,SVC001,MDL011,VAR063,Inspection,Body Repair,Appointment,Completed,false,false,false,true,2025-12-06,2025-12-07,7.7,5.5
SO0000064,2025-12-08,2025-12-01,SVC001,MDL011,VAR064,Warranty Repair,Mechanical,Pickup-Drop,Open,true,false,false,true,2025-12-09,,4.1,3.1
SO0000065,2025-12-19,2025-12-01,SVC001,MDL011,VAR065,Warranty Repair,Mechanical,Appointment,Completed,true,false,false,true,2025-12-20,2025-12-19,5.9,4.5
SO0000066,2025-12-24,2025-12-01,SVC001,MDL011,VAR066,Accident Repair,Body Repair,Fleet,Completed,false,false,false,true,2025-12-29,2025-12-29,19.0,17.0
SO0000067,2025-12-12,2025-12-01,SVC001,MDL012,VAR067,Warranty Repair,Diagnostics,Appointment,Cancelled,true,false,false,true,2025-12-13,,6.5,5.0
SO0000068,2025-12-14,2025-12-01,SVC001,MDL012,VAR068,Running Repair,Mechanical,Appointment,Completed,false,false,false,true,2025-12-15,2025-12-15,5.1,4.4
SO0000069,2025-12-05,2025-12-01,SVC001,MDL012,VAR069,Periodic Service,Body Repair,Walk-in,Completed,false,false,false,false,2025-12-06,2025-12-06,2.7,1.8
SO0000070,2025-12-30,2025-12-01,SVC001,MDL012,VAR070,Warranty Repair,Diagnostics,Pickup-Drop,Open,true,false,false,false,2025-12-31,,3.9,3.1
SO0000071,2025-12-16,2025-12-01,SVC001,MDL012,VAR071,Warranty Repair,Diagnostics,Pickup-Drop,Open,true,false,false,true,2025-12-17,,7.3,6.3
SO0000072,2025-12-15,2025-12-01,SVC001,MDL012,VAR072,Periodic Service,Diagnostics,Appointment,Cancelled,true,false,false,true,2025-12-16,,2.3,2.0
SO0000073,2025-12-18,2025-12-01,SVC001,MDL001,VAR001,Periodic Service,Body Repair,Appointment,Completed,false,false,false,true,2025-12-19,2025-12-19,2.1,1.9
SO0000074,2025-12-11,2025-12-01,SVC001,MDL001,VAR002,Recall Campaign,Campaign,Fleet,Completed,false,false,true,false,2025-12-12,2025-12-13,4.2,2.9
SO0000075,2025-12-07,2025-12-01,SVC001,MDL001,VAR003,Periodic Service,Body Repair,Appointment,Completed,false,false,false,true,2025-12-08,2025-12-08,2.9,2.6
SO0000076,2025-12-19,2025-12-01,SVC001,MDL001,VAR004,Running Repair,Maintenance,Walk-in,Completed,false,false,false,false,2025-12-20,2025-12-21,2.6,2.2
SO0000077,2025-12-11,2025-12-01,SVC001,MDL001,VAR005,Running Repair,Diagnostics,Walk-in,Completed,false,false,false,true,2025-12-12,2025-12-13,4.5,3.7
SO0000078,2025-12-31,2025-12-01,SVC001,MDL001,VAR006,Accident Repair,Body Repair,Pickup-Drop,Completed,false,false,false,false,2026-01-05,2026-01-04,11.5,9.6
SO0000079,2025-12-06,2025-12-01,SVC001,MDL002,VAR007,Warranty Repair,Campaign,Walk-in,Completed,true,false,false,true,2025-12-07,2025-12-08,4.6,3.6
SO0000080,2025-12-23,2025-12-01,SVC001,MDL002,VAR008,Recall Campaign,Campaign,Pickup-Drop,Open,false,false,true,false,2025-12-24,,2.5,1.7
SO0000081,2025-12-21,2025-12-01,SVC001,MDL002,VAR009,Recall Campaign,Campaign,Fleet,Cancelled,false,false,true,false,2025-12-22,,2.6,1.9
SO0000082,2025-12-18,2025-12-01,SVC001,MDL002,VAR010,Accident Repair,Body Repair,Appointment,Open,false,true,false,false,2025-12-23,,9.4,7.0
SO0000083,2025-12-02,2025-12-01,SVC001,MDL002,VAR011,Recall Campaign,Campaign,Appointment,Completed,false,true,true,false,2025-12-03,2025-12-03,3.4,2.4
SO0000084,2025-12-22,2025-12-01,SVC001,MDL002,VAR012,Running Repair,Maintenance,Walk-in,Open,false,false,false,false,2025-12-23,,4.7,3.6
SO0000085,2025-12-31,2025-12-01,SVC001,MDL003,VAR013,Inspection,Diagnostics,Fleet,Completed,false,false,false,true,2026-01-01,2025-12-31,2.6,2.2
SO0000086,2025-12-18,2025-12-01,SVC001,MDL003,VAR014,Warranty Repair,Mechanical,Appointment,Completed,true,false,false,true,2025-12-19,2025-12-19,6.1,5.2
SO0000087,2025-12-07,2025-12-01,SVC001,MDL003,VAR015,Inspection,Diagnostics,Appointment,Completed,false,false,false,true,2025-12-08,2025-12-09,7.2,5.8
SO0000088,2025-12-26,2025-12-01,SVC001,MDL003,VAR016,Accident Repair,Body Repair,Appointment,Completed,false,false,false,true,2025-12-31,2025-12-30,19.4,16.4
SO0000089,2025-12-08,2025-12-01,SVC001,MDL003,VAR017,Warranty Repair,Electrical,Walk-in,Cancelled,true,false,false,false,2025-12-09,,6.8,5.8
SO0000090,2025-12-20,2025-12-01,SVC001,MDL003,VAR018,Running Repair,Mechanical,Fleet,Completed,false,false,false,true,2025-12-21,2025-12-21,2.0,1.8
SO0000091,2025-12-30,2025-12-01,SVC001,MDL004,VAR019,Periodic Service,Mechanical,Walk-in,Completed,false,false,false,false,2025-12-31,2025-12-31,2.9,2.3
SO0000092,2025-12-06,2025-12-01,SVC001,MDL004,VAR020,Running Repair,Electrical,Pickup-Drop,Completed,false,false,false,false,2025-12-07,2025-12-07,7.3,5.9
SO0000093,2025-12-04,2025-12-01,SVC001,MDL004,VAR021,Running Repair,Maintenance,Fleet,Completed,false,false,false,true,2025-12-05,2025-12-06,4.5,3.1
SO0000094,2025-12-26,2025-12-01,SVC001,MDL004,VAR022,Inspection,Diagnostics,Fleet,Completed,false,false,false,false,2025-12-27,2025-12-26,3.4,2.5
SO0000095,2025-12-10,2025-12-01,SVC001,MDL004,VAR023,Running Repair,Diagnostics,Fleet,Open,false,false,false,true,2025-12-11,,4.3,3.2
SO0000096,2025-12-30,2025-12-01,SVC001,MDL004,VAR024,Periodic Service,Body Repair,Walk-in,Cancelled,false,false,false,true,2025-12-31,,2.3,1.6
SO0000097,2025-12-09,2025-12-01,SVC001,MDL005,VAR025,Periodic Service,Maintenance,Appointment,Completed,true,false,false,true,2025-12-10,2025-12-09,2.9,2.3
SO0000098,2025-12-13,2025-12-01,SVC001,MDL005,VAR026,Inspection,Body Repair,Appointment,Completed,false,false,false,true,2025-12-14,2025-12-15,2.8,2.3
SO0000099,2025-12-24,2025-12-01,SVC001,MDL005,VAR027,Running Repair,Campaign,Walk-in,Completed,false,false,false,true,2025-12-25,2025-12-24,4.3,3.7
SO0000100,2025-12-28,2025-12-01,SVC001,MDL005,VAR028,Recall Campaign,Campaign,Fleet,Open,false,false,true,false,2025-12-29,,7.4,5.1
SO0000101,2025-12-09,2025-12-01,SVC001,MDL005,VAR029,Running Repair,Maintenance,Fleet,Completed,false,false,false,false,2025-12-10,2025-12-09,7.4,5.8
SO0000102,2025-12-15,2025-12-01,SVC001,MDL005,VAR030,Running Repair,Campaign,Appointment,Completed,false,false,false,true,2025-12-16,2025-12-15,3.3,2.6
SO0000103,2025-12-14,2025-12-01,SVC001,MDL006,VAR031,Running Repair,Diagnostics,Walk-in,Completed,false,false,false,true,2025-12-15,2025-12-14,5.2,3.5
SO0000104,2025-12-26,2025-12-01,SVC001,MDL006,VAR032,Periodic Service,Maintenance,Fleet,Completed,false,false,false,true,2025-12-27,2025-12-26,2.7,2.4
SO0000105,2025-12-08,2025-12-01,SVC001,MDL006,VAR033,Accident Repair,Body Repair,Walk-in,Completed,false,false,false,false,2025-12-13,2025-12-13,19.8,14.3
SO0000106,2025-12-11,2025-12-01,SVC001,MDL006,VAR034,Recall Campaign,Campaign,Pickup-Drop,Cancelled,false,false,true,true,2025-12-12,,7.7,6.1
SO0000107,2025-12-09,2025-12-01,SVC001,MDL006,VAR035,Periodic Service,Campaign,Walk-in,Open,true,false,false,true,2025-12-10,,1.5,1.1
SO0000108,2025-12-21,2025-12-01,SVC001,MDL006,VAR036,Warranty Repair,Body Repair,Appointment,Completed,true,false,false,true,2025-12-22,2025-12-22,4.4,3.5
SO0000109,2025-12-11,2025-12-01,SVC001,MDL007,VAR037,Running Repair,Diagnostics,Pickup-Drop,Open,false,false,false,false,2025-12-12,,4.6,4.1
SO0000110,2025-12-08,2025-12-01,SVC001,MDL007,VAR038,Periodic Service,Campaign,Walk-in,Open,false,false,false,true,2025-12-09,,2.5,1.8
SO0000111,2025-12-01,2025-12-01,SVC001,MDL007,VAR039,Accident Repair,Body Repair,Pickup-Drop,Completed,false,false,false,true,2025-12-06,2025-12-06,7.9,5.7
SO0000112,2025-12-06,2025-12-01,SVC001,MDL007,VAR040,Inspection,Diagnostics,Pickup-Drop,Completed,false,false,false,false,2025-12-07,2025-12-06,3.6,2.9
SO0000113,2025-12-17,2025-12-01,SVC001,MDL007,VAR041,Warranty Repair,Campaign,Pickup-Drop,Completed,true,false,false,true,2025-12-18,2025-12-18,4.4,3.7
SO0000114,2025-12-26,2025-12-01,SVC001,MDL007,VAR042,Recall Campaign,Campaign,Fleet,Cancelled,false,false,true,true,2025-12-27,,6.5,5.2
SO0000115,2025-12-15,2025-12-01,SVC001,MDL008,VAR043,Accident Repair,Body Repair,Pickup-Drop,Cancelled,false,false,false,true,2025-12-20,,10.1,7.7
SO0000116,2025-12-27,2025-12-01,SVC001,MDL008,VAR044,Running Repair,Maintenance,Walk-in,Completed,false,false,false,true,2025-12-28,2025-12-29,3.3,2.4
SO0000117,2025-12-10,2025-12-01,SVC001,MDL008,VAR045,Warranty Repair,Electrical,Appointment,Completed,true,false,false,false,2025-12-11,2025-12-11,8.0,5.4
SO0000118,2025-12-07,2025-12-01,SVC001,MDL008,VAR046,Recall Campaign,Campaign,Appointment,Completed,false,false,true,false,2025-12-08,2025-12-07,6.3,4.3
SO0000119,2025-12-09,2025-12-01,SVC001,MDL008,VAR047,Inspection,Mechanical,Walk-in,Completed,false,false,false,true,2025-12-10,2025-12-11,3.3,2.4
SO0000120,2025-12-05,2025-12-01,SVC001,MDL008,VAR048,Running Repair,Campaign,Walk-in,Completed,false,false,false,false,2025-12-06,2025-12-05,2.2,1.5
SO0000121,2025-12-12,2025-12-01,SVC001,MDL009,VAR049,Inspection,Mechanical,Fleet,Completed,false,false,false,true,2025-12-13,2025-12-14,4.6,3.7
SO0000122,2025-12-20,2025-12-01,SVC001,MDL009,VAR050,Periodic Service,Maintenance,Pickup-Drop,Completed,false,false,false,false,2025-12-21,2025-12-21,2.3,1.7
SO0000123,2025-12-15,2025-12-01,SVC001,MDL009,VAR051,Periodic Service,Electrical,Walk-in,Open,false,false,false,true,2025-12-16,,2.1,1.6
SO0000124,2025-12-16,2025-12-01,SVC001,MDL009,VAR052,Inspection,Campaign,Appointment,Open,false,false,false,false,2025-12-17,,7.6,5.6
SO0000125,2025-12-07,2025-12-01,SVC001,MDL009,VAR053,Accident Repair,Body Repair,Fleet,Completed,true,false,false,true,2025-12-12,2025-12-15,9.5,6.9
SO0000126,2025-12-21,2025-12-01,SVC001,MDL009,VAR054,Periodic Service,Electrical,Appointment,Cancelled,false,false,false,true,2025-12-22,,2.6,2.1
SO0000127,2025-12-21,2025-12-01,SVC001,MDL010,VAR055,Running Repair,Body Repair,Walk-in,Completed,false,false,false,true,2025-12-22,2025-12-22,2.6,1.7
SO0000128,2025-12-20,2025-12-01,SVC001,MDL010,VAR056,Running Repair,Diagnostics,Walk-in,Completed,false,false,false,true,2025-12-21,2025-12-20,8.0,6.5
SO0000129,2025-12-16,2025-12-01,SVC001,MDL010,VAR057,Inspection,Maintenance,Walk-in,Cancelled,false,false,false,false,2025-12-17,,2.5,1.7
SO0000130,2025-12-28,2025-12-01,SVC001,MDL010,VAR058,Inspection,Mechanical,Fleet,Cancelled,false,false,false,true,2025-12-29,,2.9,2.1
SO0000131,2025-12-09,2025-12-01,SVC001,MDL010,VAR059,Inspection,Body Repair,Walk-in,Open,false,true,false,true,2025-12-10,,4.3,2.8
SO0000132,2025-12-11,2025-12-01,SVC001,MDL010,VAR060,Accident Repair,Body Repair,Appointment,Completed,false,false,false,true,2025-12-16,2025-12-18,22.9,15.1
SO0000133,2025-12-23,2025-12-01,SVC001,MDL011,VAR061,Warranty Repair,Maintenance,Pickup-Drop,Completed,true,false,false,false,2025-12-24,2025-12-24,4.2,2.9
SO0000134,2025-12-21,2025-12-01,SVC001,MDL011,VAR062,Periodic Service,Electrical,Fleet,Cancelled,false,false,false,true,2025-12-22,,1.6,1.4
SO0000135,2025-12-21,2025-12-01,SVC001,MDL011,VAR063,Periodic Service,Body Repair,Appointment,Open,false,false,false,true,2025-12-22,,2.9,2.0
SO0000136,2025-12-29,2025-12-01,SVC001,MDL011,VAR064,Recall Campaign,Campaign,Pickup-Drop,Cancelled,false,false,true,true,2025-12-30,,4.7,3.4
SO0000137,2025-12-26,2025-12-01,SVC001,MDL011,VAR065,Warranty Repair,Body Repair,Appointment,Completed,true,false,false,false,2025-12-27,2025-12-28,5.1,3.9
SO0000138,2025-12-19,2025-12-01,SVC001,MDL011,VAR066,Periodic Service,Diagnostics,Walk-in,Open,false,false,false,false,2025-12-20,,2.6,2.1
SO0000139,2025-12-22,2025-12-01,SVC001,MDL012,VAR067,Recall Campaign,Campaign,Appointment,Completed,false,false,true,true,2025-12-23,2025-12-22,6.9,5.3
SO0000140,2025-12-06,2025-12-01,SVC001,MDL012,VAR068,Recall Campaign,Campaign,Walk-in,Completed,false,false,true,true,2025-12-07,2025-12-08,3.2,2.3
SO0000141,2025-12-22,2025-12-01,SVC001,MDL012,VAR069,Periodic Service,Body Repair,Walk-in,Open,false,false,false,true,2025-12-23,,1.3,0.9
SO0000142,2025-12-06,2025-12-01,SVC001,MDL012,VAR070,Recall Campaign,Campaign,Pickup-Drop,Cancelled,false,false,true,true,2025-12-07,,5.1,3.5
SO0000143,2025-12-02,2025-12-01,SVC001,MDL012,VAR071,Periodic Service,Maintenance,Fleet,Completed,false,false,false,false,2025-12-03,2025-12-04,2.1,1.7
SO0000144,2025-12-13,2025-12-01,SVC001,MDL012,VAR072,Inspection,Campaign,Appointment,Completed,false,false,false,true,2025-12-14,2025-12-13,3.1,2.5
SO0000145,2025-12-06,2025-12-01,SVC001,MDL001,VAR001,Inspection,Body Repair,Fleet,Open,false,false,false,true,2025-12-07,,3.7,2.6
SO0000146,2025-12-30,2025-12-01,SVC001,MDL001,VAR002,Running Repair,Campaign,Pickup-Drop,Completed,false,false,false,true,2025-12-31,2025-12-31,3.4,2.9
SO0000147,2025-12-16,2025-12-01,SVC001,MDL001,VAR003,Periodic Service,Campaign,Appointment,Completed,false,false,false,true,2025-12-17,2025-12-18,2.2,1.5
SO0000148,2025-12-17,2025-12-01,SVC001,MDL001,VAR004,Warranty Repair,Diagnostics,Walk-in,Cancelled,true,false,false,false,2025-12-18,,8.0,6.9
SO0000149,2025-12-13,2025-12-01,SVC001,MDL001,VAR005,Inspection,Mechanical,Appointment,Completed,false,false,false,false,2025-12-14,2025-12-13,3.4,2.7
SO0000150,2025-12-25,2025-12-01,SVC001,MDL001,VAR006,Periodic Service,Campaign,Pickup-Drop,Completed,false,true,false,true,2025-12-26,2025-12-27,2.2,1.8
SO0000151,2025-12-19,2025-12-01,SVC001,MDL002,VAR007,Running Repair,Mechanical,Fleet,Completed,false,false,false,true,2025-12-20,2025-12-19,4.9,3.8
SO0000152,2025-12-11,2025-12-01,SVC001,MDL002,VAR008,Accident Repair,Body Repair,Pickup-Drop,Completed,false,false,false,false,2025-12-16,2025-12-18,9.0,7.8
SO0000153,2025-12-23,2025-12-01,SVC001,MDL002,VAR009,Accident Repair,Body Repair,Fleet,Open,false,false,false,true,2025-12-28,,8.7,6.9
SO0000154,2025-12-12,2025-12-01,SVC001,MDL002,VAR010,Recall Campaign,Campaign,Fleet,Completed,false,false,true,true,2025-12-13,2025-12-12,2.5,1.7
SO0000155,2025-12-01,2025-12-01,SVC001,MDL002,VAR011,Accident Repair,Body Repair,Pickup-Drop,Open,false,false,false,true,2025-12-06,,17.7,14.8
SO0000156,2025-12-31,2025-12-01,SVC001,MDL002,VAR012,Warranty Repair,Diagnostics,Fleet,Open,true,false,false,false,2026-01-01,,7.2,5.4
SO0000157,2025-12-20,2025-12-01,SVC001,MDL003,VAR013,Inspection,Electrical,Appointment,Cancelled,false,false,false,true,2025-12-21,,3.3,2.7
SO0000158,2025-12-16,2025-12-01,SVC001,MDL003,VAR014,Warranty Repair,Electrical,Walk-in,Completed,true,true,false,true,2025-12-17,2025-12-17,5.6,3.7
SO0000159,2025-12-05,2025-12-01,SVC001,MDL003,VAR015,Inspection,Electrical,Appointment,Open,false,false,false,true,2025-12-06,,6.2,4.2
SO0000160,2025-12-28,2025-12-01,SVC001,MDL003,VAR016,Inspection,Campaign,Fleet,Completed,false,false,false,true,2025-12-29,2025-12-28,6.9,5.1
