month,service_center_id,part_id,model_id,variant_id,quantity_demanded,quantity_fulfilled,quantity_backordered,lost_sales_quantity,opening_stock,stock_received,closing_stock,stockout_days,average_lead_time_days,warranty_quantity,paid_quantity
2026-01-01,SVC001,PRT0004,MDL001,VAR004,12,12,0,0,21,0,9,0,8.0,2,9
2026-02-01,SVC001,PRT0004,MDL001,VAR004,17,17,0,0,23,0,6,0,6.5,4,13
2026-03-01,SVC001,PRT0004,MDL001,VAR004,16,16,0,0,27,0,11,0,9.6,4,14
2026-04-01,SVC001,PRT0004,MDL001,VAR004,18,18,0,0,25,0,7,0,7.3,2,15
2026-05-01,SVC001,PRT0004,MDL001,VAR004,13,13,0,0,15,2,4,0,7.3,3,11
2025-12-01,SVC001,PRT0005,MDL001,VAR005,4,4,0,0,4,4,4,0,6.1,1,3
2026-01-01,SVC001,PRT0005,MDL001,VAR005,6,6,0,0,13,0,7,0,4.2,1,5
2026-02-01,SVC001,PRT0005,MDL001,VAR005,8,4,2,2,13,0,9,2,8.4,1,3
2026-03-01,SVC001,PRT0005,MDL001,VAR005,0,0,0,0,0,7,7,0,4.2,0,0
2026-04-01,SVC001,PRT0005,MDL001,VAR005,6,3,1,2,5,8,10,5,7.1,0,3
2026-05-01,SVC001,PRT0005,MDL001,VAR005,0,0,0,0,2,1,3,0,2.9,0,0
2025-12-01,SVC001,PRT0006,MDL001,VAR006,0,0,0,0,11,0,11,0,9.4,0,0
2026-01-01,SVC001,PRT0006,MDL001,VAR006,0,0,0,0,10,0,10,0,6.6,0,0
2026-02-01,SVC001,PRT0006,MDL001,VAR006,0,0,0,0,6,0,6,0,6.9,0,0
2026-03-01,SVC001,PRT0006,MDL001,VAR006,2,2,0,0,13,0,11,0,8.0,0,2
2026-04-01,SVC001,PRT0006,MDL001,VAR006,0,0,0,0,11,0,11,0,7.5,0,0
2026-05-01,SVC001,PRT0006,MDL001,VAR006,0,0,0,0,11,0,11,0,2.6,0,0
2025-12-01,SVC001,PRT0007,MDL002,VAR007,18,18,0,0,27,0,9,0,9.0,4,15
2026-01-01,SVC001,PRT0007,MDL002,VAR007,14,14,0,0,19,1,6,0,2.7,2,12
2026-02-01,SVC001,PRT0007,MDL002,VAR007,16,16,0,0,25,0,9,0,3.2,3,14
2026-03-01,SVC001,PRT0007,MDL002,VAR007,14,14,0,0,18,2,6,0,3.0,4,11
2026-04-01,SVC001,PRT0007,MDL002,VAR007,16,16,0,0,25,0,9,0,5.3,3,12
2026-05-01,SVC001,PRT0007,MDL002,VAR007,0,0,0,0,9,0,9,0,3.6,0,0
2025-12-01,SVC001,PRT0008,MDL002,VAR008,0,0,0,0,1,3,4,0,7.6,0,0
2026-01-01,SVC001,PRT0008,MDL002,VAR008,6,6,0,0,10,0,4,0,2.2,1,4
2026-02-01,SVC001,PRT0008,MDL002,VAR008,7,3,2,2,3,9,9,5,5.2,1,3
2026-03-01,SVC001,PRT0008,MDL002,VAR008,6,6,0,0,12,0,6,0,2.7,1,5
2026-04-01,SVC001,PRT0008,MDL002,VAR008,9,9,0,0,12,0,3,0,10.0,1,8
2026-05-01,SVC001,PRT0008,MDL002,VAR008,7,6,0,1,11,0,5,5,3.8,1,5
2025-12-01,SVC001,PRT0009,MDL002,VAR009,0,0,0,0,1,0,1,0,2.7,0,0
2026-01-01,SVC001,PRT0009,MDL002,VAR009,0,0,0,0,6,0,6,0,9.9,0,0
2026-02-01,SVC001,PRT0009,MDL002,VAR009,4,4,0,0,14,0,10,0,8.8,1,3
2026-03-01,SVC001,PRT0009,MDL002,VAR009,5,5,0,0,10,2,7,0,9.6,1,4
2026-04-01,SVC001,PRT0009,MDL002,VAR009,0,0,0,0,9,0,9,0,6.9,0,0
2026-05-01,SVC001,PRT0009,MDL002,VAR009,3,0,2,1,4,1,5,3,8.6,0,0
2025-12-01,SVC001,PRT0010,MDL002,VAR010,13,13,0,0,20,0,7,0,6.6,2,11
2026-01-01,SVC001,PRT0010,MDL002,VAR010,18,18,0,0,21,1,4,0,8.3,5,13
2026-02-01,SVC001,PRT0010,MDL002,VAR010,14,14,0,0,16,1,3,0,3.2,3,10
2026-03-01,SVC001,PRT0010,MDL002,VAR010,10,10,0,0,10,0,0,0,8.0,2,9
2026-04-01,SVC001,PRT0010,MDL002,VAR010,15,15,0,0,22,0,7,0,2.5,2,11
2026-05-01,SVC001,PRT0010,MDL002,VAR010,18,18,0,0,27,0,9,0,6.5,4,14
2025-12-01,SVC001,PRT0011,MDL002,VAR011,9,9,0,0,13,3,7,0,5.4,2,7
2026-01-01,SVC001,PRT0011,MDL002,VAR011,9,9,0,0,15,0,6,0,3.4,2,8
2026-02-01,SVC001,PRT0011,MDL002,VAR011,0,0,0,0,4,2,6,0,3.0,0,0
2026-03-01,SVC001,PRT0011,MDL002,VAR011,0,0,0,0,5,1,6,0,4.1,0,0
2026-04-01,SVC001,PRT0011,MDL002,VAR011,0,0,0,0,8,0,8,0,5.9,0,0
2026-05-01,SVC001,PRT0011,MDL002,VAR011,9,9,0,0,15,0,6,0,6.3,2,7
2025-12-01,SVC001,PRT0012,MDL002,VAR012,5,0,2,3,2,3,5,3,6.8,0,0
2026-01-01,SVC001,PRT0012,MDL002,VAR012,0,0,0,0,7,0,7,0,3.5,0,0
2026-02-01,SVC001,PRT0012,MDL002,VAR012,0,0,0,0,0,1,1,0,7.5,0,0
2026-03-01,SVC001,PRT0012,MDL002,VAR012,0,0,0,0,3,4,7,0,6.0,0,0
2026-04-01,SVC001,PRT0012,MDL002,VAR012,5,3,0,2,4,1,2,3,5.7,0,2
2026-05-01,SVC001,PRT0012,MDL002,VAR012,2,2,0,0,3,0,1,0,2.4,1,2
2025-12-01,SVC001,PRT0013,MDL003,VAR013,14,14,0,0,23,0,9,0,2.0,3,10
2026-01-01,SVC001,PRT0013,MDL003,VAR013,13,13,0,0,24,0,11,0,4.6,3,10
2026-02-01,SVC001,PRT0013,MDL003,VAR013,17,17,0,0,17,6,6,0,4.2,5,14
2026-03-01,SVC001,PRT0013,MDL003,VAR013,14,14,0,0,15,5,6,0,9.8,4,12
2026-04-01,SVC001,PRT0013,MDL003,VAR013,18,18,0,0,19,0,1,0,9.8,4,15
2026-05-01,SVC001,PRT0013,MDL003,VAR013,0,0,0,0,9,0,9,0,3.8,0,0
2025-12-01,SVC001,PRT0014,MDL003,VAR014,5,1,2,2,12,0,11,3,7.2,0,1
2026-01-01,SVC001,PRT0014,MDL003,VAR014,7,7,0,0,11,0,4,0,5.7,1,5
2026-02-01,SVC001,PRT0014,MDL003,VAR014,8,8,0,0,8,1,1,0,7.1,2,6
2026-03-01,SVC001,PRT0014,MDL003,VAR014,5,5,0,0,16,0,11,0,9.8,1,4
2026-04-01,SVC001,PRT0014,MDL003,VAR014,0,0,0,0,10,0,10,0,6.6,0,0
2026-05-01,SVC001,PRT0014,MDL003,VAR014,7,7,0,0,7,0,0,0,6.2,1,6
2025-12-01,SVC001,PRT0015,MDL003,VAR015,4,4,0,0,14,0,10,0,9.7,1,3
2026-01-01,SVC001,PRT0015,MDL003,VAR015,5,5,0,0,5,4,4,0,7.0,1,4
2026-02-01,SVC001,PRT0015,MDL003,VAR015,0,0,0,0,0,4,4,0,9.1,0,0
2026-03-01,SVC001,PRT0015,MDL003,VAR015,0,0,0,0,11,0,11,0,3.1,0,0
2026-04-01,SVC001,PRT0015,MDL003,VAR015,0,0,0,0,9,0,9,0,6.0,0,0
2026-05-01,SVC001,PRT0015,MDL003,VAR015,5,5,0,0,10,0,5,0,6.2,1,4
2025-12-01,SVC001,PRT0016,MDL003,VAR016,19,19,0,0,29,0,10,0,2.9,3,14
2026-01-01,SVC001,PRT0016,MDL003,VAR016,11,11,0,0,16,1,6,0,2.3,2,8
2026-02-01,SVC001,PRT0016,MDL003,VAR016,11,11,0,0,14,0,3,0,5.0,2,8
2026-03-01,SVC001,PRT0016,MDL003,VAR016,15,15,0,0,25,0,10,0,7.0,4,13
2026-04-01,SVC001,PRT0016,MDL003,VAR016,16,16,0,0,19,4,7,0,9.8,4,13
2026-05-01,SVC001,PRT0016,MDL003,VAR016,13,13,0,0,17,0,4,0,4.9,3,11
2025-12-01,SVC001,PRT0017,MDL003,VAR017,6,6,0,0,13,0,7,0,7.8,2,5
2026-01-01,SVC001,PRT0017,MDL003,VAR017,6,6,0,0,15,0,9,0,5.6,2,4
2026-02-01,SVC001,PRT0017,MDL003,VAR017,7,7,0,0,11,0,4,0,2.8,1,5
2026-03-01,SVC001,PRT0017,MDL003,VAR017,9,9,0,0,10,0,1,0,8.1,3,7
2026-04-01,SVC001,PRT0017,MDL003,VAR017,7,7,0,0,13,0,6,0,8.9,1,5
2026-05-01,SVC001,PRT0017,MDL003,VAR017,7,7,0,0,7,3,3,0,8.8,2,6
2025-12-01,SVC001,PRT0018,MDL003,VAR018,0,0,0,0,9,0,9,0,6.6,0,0
2026-01-01,SVC001,PRT0018,MDL003,VAR018,4,1,2,1,9,0,8,3,6.2,0,1
2026-02-01,SVC001,PRT0018,MDL003,VAR018,0,0,0,0,10,0,10,0,6.6,0,0
2026-03-01,SVC001,PRT0018,MDL003,VAR018,2,2,0,0,12,0,10,0,9.8,0,1
2026-04-01,SVC001,PRT0018,MDL003,VAR018,0,0,0,0,9,0,9,0,8.4,0,0
2026-05-01,SVC001,PRT0018,MDL003,VAR018,0,0,0,0,4,3,7,0,6.1,0,0
2025-12-01,SVC001,PRT0019,MDL004,VAR019,12,12,0,0,18,0,6,0,6.0,3,9
2026-01-01,SVC001,PRT0019,MDL004,VAR019,17,17,0,0,18,0,1,0,3.0,5,15
2026-02-01,SVC001,PRT0019,MDL004,VAR019,12,12,0,0,14,2,4,0,9.0,4,10
2026-03-01,SVC001,PRT0019,MDL004,VAR019,13,13,0,0,15,1,3,0,8.3,4,11
2026-04-01,SVC001,PRT0019,MDL004,VAR019,15,15,0,0,17,3,5,0,3.4,3,12
2026-05-01,SVC001,PRT0019,MDL004,VAR019,17,17,0,0,23,1,7,0,7.5,4,14
2025-12-01,SVC001,PRT0020,MDL004,VAR020,9,4,2,3,14,1,11,5,6.5,1,3
2026-01-01,SVC001,PRT0020,MDL004,VAR020,0,0,0,0,7,0,7,0,5.1,0,0
2026-02-01,SVC001,PRT0020,MDL004,VAR020,7,7,0,0,14,0,7,0,9.5,1,5
2026-03-01,SVC001,PRT0020,MDL004,VAR020,6,6,0,0,17,0,11,0,8.0,1,5
2026-04-01,SVC001,PRT0020,MDL004,VAR020,0,0,0,0,1,6,7,0,4.0,0,0
2026-05-01,SVC001,PRT0020,MDL004,VAR020,6,6,0,0,14,0,8,0,5.0,1,4
2025-12-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,4,0,4,0,6.6,0,0
2026-01-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,2,2,4,0,8.3,0,0
2026-02-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,0,0,0,0,6.4,0,0
2026-03-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,3,0,3,0,6.0,0,0
2026-04-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,9,0,9,0,2.9,0,0
2026-05-01,SVC001,PRT0021,MDL004,VAR021,0,0,0,0,6,0,6,0,6.4,0,0
2025-12-01,SVC001,PRT0022,MDL004,VAR022,13,13,0,0,19,0,6,0,8.0,2,9
2026-01-01,SVC001,PRT0022,MDL004,VAR022,12,12,0,0,20,0,8,0,9.2,3,9
2026-02-01,SVC001,PRT0022,MDL004,VAR022,14,14,0,0,15,3,4,0,5.2,3,10
2026-03-01,SVC001,PRT0022,MDL004,VAR022,14,14,0,0,14,6,6,0,4.2,3,12
2026-04-01,SVC001,PRT0022,MDL004,VAR022,13,13,0,0,18,0,5,0,9.6,3,10
2026-05-01,SVC001,PRT0022,MDL004,VAR022,18,18,0,0,29,0,11,0,4.5,4,13
2025-12-01,SVC001,PRT0023,MDL004,VAR023,7,4,0,3,7,7,10,4,5.5,1,3
2026-01-01,SVC001,PRT0023,MDL004,VAR023,8,8,0,0,12,3,7,0,4.9,2,7
2026-02-01,SVC001,PRT0023,MDL004,VAR023,6,6,0,0,9,0,3,0,7.1,1,5
2026-03-01,SVC001,PRT0023,MDL004,VAR023,0,0,0,0,6,1,7,0,6.6,0,0
2026-04-01,SVC001,PRT0023,MDL004,VAR023,0,0,0,0,1,0,1,0,7.5,0,0
2026-05-01,SVC001,PRT0023,MDL004,VAR023,9,9,0,0,20,0,11,0,6.4,2,6
2025-12-01,SVC001,PRT0024,MDL004,VAR024,5,2,1,2,5,3,6,5,9.8,0,2
2026-01-01,SVC001,PRT0024,MDL004,VAR024,0,0,0,0,3,2,5,0,4.1,0,0
2026-02-01,SVC001,PRT0024,MDL004,VAR024,0,0,0,0,8,0,8,0,8.8,0,0
2026-03-01,SVC001,PRT0024,MDL004,VAR024,3,3,0,0,6,1,4,0,9.3,1,2
2026-04-01,SVC001,PRT0024,MDL004,VAR024,0,0,0,0,7,0,7,0,7.4,0,0
2026-05-01,SVC001,PRT0024,MDL004,VAR024,0,0,0,0,8,0,8,0,6.7,0,0
2025-12-01,SVC001,PRT0025,MDL005,VAR025,14,14,0,0,15,5,6,0,2.7,2,11
2026-01-01,SVC001,PRT0025,MDL005,VAR025,12,12,0,0,21,0,9,0,5.2,3,9
2026-02-01,SVC001,PRT0025,MDL005,VAR025,16,16,0,0,19,3,6,0,8.8,4,13
2026-03-01,SVC001,PRT0025,MDL005,VAR025,17,17,0,0,19,3,5,0,9.9,3,13
2026-04-01,SVC001,PRT0025,MDL005,VAR025,17,17,0,0,27,0,10,0,2.9,4,13
2026-05-01,SVC001,PRT0025,MDL005,VAR025,19,19,0,0,28,0,9,0,4.6,3,14
2025-12-01,SVC001,PRT0026,MDL005,VAR026,0,0,0,0,10,0,10,0,5.1,0,0
2026-01-01,SVC001,PRT0026,MDL005,VAR026,8,8,0,0,14,0,6,0,4.8,2,6
2026-02-01,SVC001,PRT0026,MDL005,VAR026,0,0,0,0,10,0,10,0,3.9,0,0
2026-03-01,SVC001,PRT0026,MDL005,VAR026,5,5,0,0,8,0,3,0,6.2,1,4
2026-04-01,SVC001,PRT0026,MDL005,VAR026,8,8,0,0,19,0,11,0,2.8,2,6
2026-05-01,SVC001,PRT0026,MDL005,VAR026,8,8,0,0,15,0,7,0,6.0,1,7
2025-12-01,SVC001,PRT0027,MDL005,VAR027,4,4,0,0,15,0,11,0,2.5,1,3
2026-01-01,SVC001,PRT0027,MDL005,VAR027,0,0,0,0,8,0,8,0,4.8,0,0
2026-02-01,SVC001,PRT0027,MDL005,VAR027,0,0,0,0,10,0,10,0,8.2,0,0
2026-03-01,SVC001,PRT0027,MDL005,VAR027,3,3,0,0,3,4,4,0,2.4,1,2
2026-04-01,SVC001,PRT0027,MDL005,VAR027,0,0,0,0,7,0,7,0,7.7,0,0
2026-05-01,SVC001,PRT0027,MDL005,VAR027,0,0,0,0,2,1,3,0,7.4,0,0
2025-12-01,SVC001,PRT0028,MDL005,VAR028,19,19,0,0,19,3,3,0,5.6,4,15
2026-01-01,SVC001,PRT0028,MDL005,VAR028,12,12,0,0,18,1,7,0,8.5,2,10
2026-02-01,SVC001,PRT0028,MDL005,VAR028,12,12,0,0,22,0,10,0,2.4,3,10
2026-03-01,SVC001,PRT0028,MDL005,VAR028,0,0,0,0,10,0,10,0,9.9,0,0
2026-04-01,SVC001,PRT0028,MDL005,VAR028,17,17,0,0,22,2,7,0,6.5,4,13
2026-05-01,SVC001,PRT0028,MDL005,VAR028,17,14,0,3,17,1,4,5,9.8,3,12
2025-12-01,SVC001,PRT0029,MDL005,VAR029,6,6,0,0,6,3,3,0,3.1,1,5
2026-01-01,SVC001,PRT0029,MDL005,VAR029,0,0,0,0,8,0,8,0,6.1,0,0
2026-02-01,SVC001,PRT0029,MDL005,VAR029,0,0,0,0,2,0,2,0,4.8,0,0
2026-03-01,SVC001,PRT0029,MDL005,VAR029,8,8,0,0,10,4,6,0,4.7,2,6
2026-04-01,SVC001,PRT0029,MDL005,VAR029,0,0,0,0,11,0,11,0,8.6,0,0
2026-05-01,SVC001,PRT0029,MDL005,VAR029,7,7,0,0,18,0,11,0,2.5,1,5
2025-12-01,SVC001,PRT0030,MDL005,VAR030,2,2,0,0,4,1,3,0,5.9,0,2
2026-01-01,SVC001,PRT0030,MDL005,VAR030,4,4,0,0,8,3,7,0,9.6,1,3
2026-02-01,SVC001,PRT0030,MDL005,VAR030,5,5,0,0,11,0,6,0,9.6,1,4
2026-03-01,SVC001,PRT0030,MDL005,VAR030,0,0,0,0,0,5,5,0,3.5,0,0
2026-04-01,SVC001,PRT0030,MDL005,VAR030,0,0,0,0,5,0,5,0,6.7,0,0
2026-05-01,SVC001,PRT0030,MDL005,VAR030,4,4,0,0,10,0,6,0,7.7,1,3
2025-12-01,SVC001,PRT0031,MDL006,VAR031,14,10,1,3,15,6,11,1,9.7,2,8
2026-01-01,SVC001,PRT0031,MDL006,VAR031,17,17,0,0,17,6,6,0,8.0,3,14
2026-02-01,SVC001,PRT0031,MDL006,VAR031,0,0,0,0,0,5,5,0,8.1,0,0
2026-03-01,SVC001,PRT0031,MDL006,VAR031,12,12,0,0,12,3,3,0,4.4,3,10
2026-04-01,SVC001,PRT0031,MDL006,VAR031,19,19,0,0,20,6,7,0,7.8,5,14
2026-05-01,SVC001,PRT0031,MDL006,VAR031,18,18,0,0,29,0,11,0,5.0,3,14
2025-12-01,SVC001,PRT0032,MDL006,VAR032,8,8,0,0,16,0,8,0,9.4,1,7
2026-01-01,SVC001,PRT0032,MDL006,VAR032,6,6,0,0,12,1,7,0,7.5,2,5
2026-02-01,SVC001,PRT0032,MDL006,VAR032,7,7,0,0,9,1,3,0,4.0,2,6
2026-03-01,SVC001,PRT0032,MDL006,VAR032,7,7,0,0,17,0,10,0,3.4,1,6
2026-04-01,SVC001,PRT0032,MDL006,VAR032,0,0,0,0,9,0,9,0,6.9,0,0
2026-05-01,SVC001,PRT0032,MDL006,VAR032,0,0,0,0,0,4,4,0,5.3,0,0
2025-12-01,SVC001,PRT0033,MDL006,VAR033,0,0,0,0,6,0,6,0,9.9,0,0
2026-01-01,SVC001,PRT0033,MDL006,VAR033,0,0,0,0,1,1,2,0,4.7,0,0
2026-02-01,SVC001,PRT0033,MDL006,VAR033,0,0,0,0,11,0,11,0,4.5,0,0
2026-03-01,SVC001,PRT0033,MDL006,VAR033,0,0,0,0,7,0,7,0,7.9,0,0
2026-04-01,SVC001,PRT0033,MDL006,VAR033,2,0,0,2,9,0,9,2,3.4,0,0
2026-05-01,SVC001,PRT0033,MDL006,VAR033,0,0,0,0,5,0,5,0,3.4,0,0
2025-12-01,SVC001,PRT0034,MDL006,VAR034,16,16,0,0,16,7,7,0,2.2,5,11
2026-01-01,SVC001,PRT0034,MDL006,VAR034,13,13,0,0,24,0,11,0,2.1,2,11
2026-02-01,SVC001,PRT0034,MDL006,VAR034,18,18,0,0,28,0,10,0,2.2,3,13
2026-03-01,SVC001,PRT0034,MDL006,VAR034,16,16,0,0,20,0,4,0,2.1,3,14
2026-04-01,SVC001,PRT0034,MDL006,VAR034,16,16,0,0,19,0,3,0,8.1,2,14
2026-05-01,SVC001,PRT0034,MDL006,VAR034,14,14,0,0,14,5,5,0,6.1,3,11
2025-12-01,SVC001,PRT0035,MDL006,VAR035,8,8,0,0,16,0,8,0,8.9,1,6
2026-01-01,SVC001,PRT0035,MDL006,VAR035,10,10,0,0,15,2,7,0,4.1,2,9
2026-02-01,SVC001,PRT0035,MDL006,VAR035,0,0,0,0,6,0,6,0,9.6,0,0
2026-03-01,SVC001,PRT0035,MDL006,VAR035,7,7,0,0,15,0,8,0,4.1,2,6
2026-04-01,SVC001,PRT0035,MDL006,VAR035,9,9,0,0,18,0,9,0,4.4,1,6
2026-05-01,SVC001,PRT0035,MDL006,VAR035,10,10,0,0,13,2,5,0,8.4,2,7
2025-12-01,SVC001,PRT0036,MDL006,VAR036,0,0,0,0,7,0,7,0,3.0,0,0
2026-01-01,SVC001,PRT0036,MDL006,VAR036,0,0,0,0,3,0,3,0,7.9,0,0
2026-02-01,SVC001,PRT0036,MDL006,VAR036,0,0,0,0,9,0,9,0,3.6,0,0
2026-03-01,SVC001,PRT0036,MDL006,VAR036,0,0,0,0,4,2,6,0,6.0,0,0
2026-04-01,SVC001,PRT0036,MDL006,VAR036,0,0,0,0,8,0,8,0,7.6,0,0
2026-05-01,SVC001,PRT0036,MDL006,VAR036,2,2,0,0,2,7,7,0,4.1,0,2
2025-12-01,SVC001,PRT0037,MDL007,VAR037,10,10,0,0,20,0,10,0,4.7,1,7
2026-01-01,SVC001,PRT0037,MDL007,VAR037,15,15,0,0,26,0,11,0,6.5,4,13
2026-02-01,SVC001,PRT0037,MDL007,VAR037,15,13,1,1,19,1,7,3,9.6,4,11
2026-03-01,SVC001,PRT0037,MDL007,VAR037,0,0,0,0,6,0,6,0,6.6,0,0
2026-04-01,SVC001,PRT0037,MDL007,VAR037,12,12,0,0,13,1,2,0,3.1,2,9
2026-05-01,SVC001,PRT0037,MDL007,VAR037,19,19,0,0,19,7,7,0,6.6,4,16
2025-12-01,SVC001,PRT0038,MDL007,VAR038,7,7,0,0,8,1,2,0,4.3,2,6
2026-01-01,SVC001,PRT0038,MDL007,VAR038,7,7,0,0,14,0,7,0,5.8,1,6
2026-02-01,SVC001,PRT0038,MDL007,VAR038,0,0,0,0,0,7,7,0,9.8,0,0
2026-03-01,SVC001,PRT0038,MDL007,VAR038,0,0,0,0,11,0,11,0,2.8,0,0
2026-04-01,SVC001,PRT0038,MDL007,VAR038,0,0,0,0,11,0,11,0,9.5,0,0
2026-05-01,SVC001,PRT0038,MDL007,VAR038,9,9,0,0,17,0,8,0,3.7,2,8
2025-12-01,SVC001,PRT0039,MDL007,VAR039,0,0,0,0,5,0,5,0,3.9,0,0
2026-01-01,SVC001,PRT0039,MDL007,VAR039,5,5,0,0,8,0,3,0,5.1,1,4
2026-02-01,SVC001,PRT0039,MDL007,VAR039,2,2,0,0,2,2,2,0,4.4,0,2
2026-03-01,SVC001,PRT0039,MDL007,VAR039,3,3,0,0,9,0,6,0,5.1,1,2
2026-04-01,SVC001,PRT0039,MDL007,VAR039,0,0,0,0,2,0,2,0,9.8,0,0
2026-05-01,SVC001,PRT0039,MDL007,VAR039,5,5,0,0,10,1,6,0,4.0,1,4
2025-12-01,SVC001,PRT0040,MDL007,VAR040,14,12,1,1,13,5,6,4,3.3,2,9
2026-01-01,SVC001,PRT0040,MDL007,VAR040,12,12,0,0,18,1,7,0,3.3,3,10
2026-02-01,SVC001,PRT0040,MDL007,VAR040,12,12,0,0,14,1,3,0,3.3,4,9
2026-03-01,SVC001,PRT0040,MDL007,VAR040,0,0,0,0,3,4,7,0,5.9,0,0
2026-04-01,SVC001,PRT0040,MDL007,VAR040,21,21,0,0,30,0,9,0,4.8,4,17
2026-05-01,SVC001,PRT0040,MDL007,VAR040,14,14,0,0,22,0,8,0,6.3,4,12
2025-12-01,SVC001,PRT0041,MDL007,VAR041,5,5,0,0,10,1,6,0,7.0,1,4
2026-01-01,SVC001,PRT0041,MDL007,VAR041,0,0,0,0,2,4,6,0,8.0,0,0
2026-02-01,SVC001,PRT0041,MDL007,VAR041,8,8,0,0,19,0,11,0,9.0,2,7
2026-03-01,SVC001,PRT0041,MDL007,VAR041,9,9,0,0,17,0,8,0,9.0,2,7
2026-04-01,SVC001,PRT0041,MDL007,VAR041,6,6,0,0,9,1,4,0,8.4,1,4
2026-05-01,SVC001,PRT0041,MDL007,VAR041,0,0,0,0,6,1,7,0,5.4,0,0
2025-12-01,SVC001,PRT0042,MDL007,VAR042,0,0,0,0,11,0,11,0,5.9,0,0
2026-01-01,SVC001,PRT0042,MDL007,VAR042,4,4,0,0,7,0,3,0,9.5,1,3
2026-02-01,SVC001,PRT0042,MDL007,VAR042,0,0,0,0,4,0,4,0,4.6,0,0
2026-03-01,SVC001,PRT0042,MDL007,VAR042,0,0,0,0,9,0,9,0,8.4,0,0
2026-04-01,SVC001,PRT0042,MDL007,VAR042,3,3,0,0,6,0,3,0,5.3,1,2
2026-05-01,SVC001,PRT0042,MDL007,VAR042,4,4,0,0,4,0,0,0,9.5,1,3
2025-12-01,SVC001,PRT0043,MDL008,VAR043,17,17,0,0,28,0,11,0,8.6,4,15
2026-01-01,SVC001,PRT0043,MDL008,VAR043,15,15,0,0,17,0,2,0,2.9,2,13
2026-02-01,SVC001,PRT0043,MDL008,VAR043,15,15,0,0,19,0,4,0,7.1,4,12
2026-03-01,SVC001,PRT0043,MDL008,VAR043,13,13,0,0,23,0,10,0,3.5,3,9
2026-04-01,SVC001,PRT0043,MDL008,VAR043,18,18,0,0,22,0,4,0,2.3,4,15
2026-05-01,SVC001,PRT0043,MDL008,VAR043,16,16,0,0,21,0,5,0,5.3,2,13
2025-12-01,SVC001,PRT0044,MDL008,VAR044,0,0,0,0,6,0,6,0,8.7,0,0
2026-01-01,SVC001,PRT0044,MDL008,VAR044,5,5,0,0,10,0,5,0,2.7,1,4
2026-02-01,SVC001,PRT0044,MDL008,VAR044,8,8,0,0,9,0,1,0,9.3,1,6
2026-03-01,SVC001,PRT0044,MDL008,VAR044,7,7,0,0,10,2,5,0,3.0,1,5
2026-04-01,SVC001,PRT0044,MDL008,VAR044,10,10,0,0,10,2,2,0,6.9,2,7
2026-05-01,SVC001,PRT0044,MDL008,VAR044,7,7,0,0,16,0,9,0,9.5,2,5
2025-12-01,SVC001,PRT0045,MDL008,VAR045,0,0,0,0,4,0,4,0,8.2,0,0
