month,service_center_id,claim_type,return_reason,age_bucket,model_id,variant_id,claim_count,return_count,claim_amount,return_amount
2024-04-01,SVC001,Goodwill,No Return,7-12m,MDL005,VAR028,1,0,31689,0
2024-04-01,SVC001,No Claim,Customer Cancellation,7-12m,MDL001,VAR005,0,1,0,254451
2024-04-01,SVC001,No Claim,Documentation Issue,7-12m,MDL002,VAR008,0,1,0,90817
2024-04-01,SVC001,No Claim,Exchange,7-12m,MDL003,VAR017,0,1,0,238102
2024-04-01,SVC001,No Claim,Incorrect Variant,0-3m,MDL003,VAR014,0,1,0,236496
2024-04-01,SVC001,No Claim,Quality Concern,7-12m,MDL001,VAR002,0,1,0,295195
2024-04-01,SVC001,No Claim,Transit Damage,4-6m,MDL002,VAR011,0,1,0,144319
2024-04-01,SVC001,Recall,No Return,0-3m,MDL001,VAR002,1,0,25142,0
2024-04-01,SVC001,Recall,No Return,0-3m,MDL006,VAR032,1,0,43051,0
2024-04-01,SVC001,Recall,No Return,0-3m,MDL006,VAR033,1,0,34999,0
2024-04-01,SVC001,Recall,No Return,0-3m,MDL006,VAR036,1,0,9837,0
2024-04-01,SVC001,Recall,No Return,25-36m,MDL004,VAR023,1,0,27964,0
2024-04-01,SVC001,Recall,No Return,25-36m,MDL006,VAR035,1,0,26994,0
2024-04-01,SVC001,Recall,No Return,4-6m,MDL002,VAR011,1,0,7160,0
2024-04-01,SVC001,Recall,No Return,4-6m,MDL003,VAR013,1,0,30898,0
2024-04-01,SVC001,Recall,No Return,4-6m,MDL007,VAR037,1,0,36236,0
2024-04-01,SVC001,Recall,No Return,4-6m,MDL007,VAR038,1,0,4342,0
2024-04-01,SVC001,Recall,No Return,7-12m,MDL003,VAR018,1,0,32863,0
2024-04-01,SVC001,Recall,No Return,7-12m,MDL004,VAR019,1,0,14758,0
2024-04-01,SVC001,Recall,No Return,7-12m,MDL006,VAR031,1,0,14054,0
2024-04-01,SVC001,Recall,No Return,7-12m,MDL007,VAR041,1,0,41278,0
2024-04-01,SVC001,Standard Warranty,No Return,0-3m,MDL002,VAR007,1,0,39169,0
2024-04-01,SVC001,Standard Warranty,No Return,0-3m,MDL002,VAR010,1,0,35905,0
2024-04-01,SVC001,Standard Warranty,No Return,25-36m,MDL004,VAR024,1,0,4908,0
2024-04-01,SVC001,Standard Warranty,No Return,25-36m,MDL007,VAR042,1,0,11620,0
2024-04-01,SVC001,Standard Warranty,No Return,4-6m,MDL001,VAR004,1,0,24690,0
2024-04-01,SVC001,Standard Warranty,No Return,7-12m,MDL004,VAR021,1,0,42214,0
2024-04-01,SVC002,Extended Warranty,No Return,0-3m,MDL002,VAR007,1,0,36902,0
2024-04-01,SVC002,Extended Warranty,No Return,0-3m,MDL002,VAR009,1,0,27848,0
2024-04-01,SVC002,Extended Warranty,No Return,0-3m,MDL004,VAR022,1,0,21706,0
2024-04-01,SVC002,Extended Warranty,No Return,0-3m,MDL005,VAR028,1,0,36023,0
2024-04-01,SVC002,Extended Warranty,No Return,25-36m,MDL002,VAR012,1,0,19758,0
2024-04-01,SVC002,Extended Warranty,No Return,25-36m,MDL006,VAR033,1,0,19544,0
2024-04-01,SVC002,Extended Warranty,No Return,4-6m,MDL007,VAR037,1,0,9378,0
2024-04-01,SVC002,Extended Warranty,No Return,7-12m,MDL001,VAR005,1,0,2268,0
2024-04-01,SVC002,Extended Warranty,No Return,7-12m,MDL003,VAR018,1,0,6298,0
2024-04-01,SVC002,Extended Warranty,No Return,7-12m,MDL005,VAR027,1,0,2965,0
2024-04-01,SVC002,Goodwill,No Return,0-3m,MDL005,VAR026,1,0,35903,0
2024-04-01,SVC002,Goodwill,No Return,13-24m,MDL002,VAR011,1,0,42479,0
2024-04-01,SVC002,Goodwill,No Return,13-24m,MDL003,VAR016,1,0,33387,0
2024-04-01,SVC002,Goodwill,No Return,13-24m,MDL004,VAR023,1,0,15446,0
2024-04-01,SVC002,Goodwill,No Return,25-36m,MDL001,VAR004,1,0,21703,0
2024-04-01,SVC002,Goodwill,No Return,25-36m,MDL003,VAR014,1,0,8671,0
2024-04-01,SVC002,Goodwill,No Return,25-36m,MDL005,VAR025,1,0,30325,0
2024-04-01,SVC002,Goodwill,No Return,7-12m,MDL004,VAR019,1,0,38142,0
2024-04-01,SVC002,No Claim,Customer Cancellation,4-6m,MDL001,VAR006,0,1,0,352039
2024-04-01,SVC002,No Claim,Customer Cancellation,4-6m,MDL003,VAR018,0,1,0,118827
2024-04-01,SVC002,No Claim,Customer Cancellation,7-12m,MDL001,VAR003,0,1,0,122973
2024-04-01,SVC002,No Claim,Documentation Issue,7-12m,MDL002,VAR012,0,1,0,337691
2024-04-01,SVC002,No Claim,Exchange,7-12m,MDL003,VAR015,0,1,0,70360
2024-04-01,SVC002,No Claim,Transit Damage,4-6m,MDL004,VAR021,0,1,0,176630
2024-04-01,SVC002,No Claim,Transit Damage,7-12m,MDL002,VAR009,0,1,0,78187
2024-04-01,SVC002,Recall,No Return,0-3m,MDL001,VAR003,1,0,19645,0
2024-04-01,SVC002,Recall,No Return,13-24m,MDL007,VAR038,1,0,14591,0
2024-04-01,SVC002,Recall,No Return,25-36m,MDL002,VAR008,1,0,22438,0
2024-04-01,SVC002,Recall,No Return,25-36m,MDL004,VAR024,1,0,27723,0
2024-04-01,SVC002,Recall,No Return,25-36m,MDL005,VAR030,1,0,32830,0
2024-04-01,SVC002,Recall,No Return,7-12m,MDL007,VAR039,1,0,13899,0
2024-04-01,SVC002,Standard Warranty,No Return,13-24m,MDL001,VAR006,1,0,17910,0
2024-04-01,SVC002,Standard Warranty,No Return,13-24m,MDL006,VAR034,1,0,22449,0
2024-04-01,SVC002,Standard Warranty,No Return,25-36m,MDL004,VAR021,1,0,31991,0
2024-04-01,SVC002,Standard Warranty,No Return,25-36m,MDL006,VAR032,1,0,12792,0
2024-04-01,SVC002,Standard Warranty,No Return,25-36m,MDL006,VAR036,1,0,33024,0
2024-04-01,SVC002,Standard Warranty,No Return,4-6m,MDL003,VAR017,1,0,8268,0
2024-04-01,SVC002,Standard Warranty,No Return,4-6m,MDL006,VAR031,1,0,21855,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL002,VAR010,1,0,18198,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL003,VAR013,1,0,16100,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL003,VAR015,1,0,38440,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL004,VAR020,1,0,24510,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL005,VAR029,1,0,38162,0
2024-04-01,SVC002,Standard Warranty,No Return,7-12m,MDL006,VAR035,1,0,14526,0
2024-04-01,SVC003,Extended Warranty,No Return,0-3m,MDL003,VAR017,1,0,40211,0
2024-04-01,SVC003,Extended Warranty,No Return,13-24m,MDL004,VAR022,1,0,31928,0
2024-04-01,SVC003,Extended Warranty,No Return,25-36m,MDL002,VAR008,1,0,2702,0
2024-04-01,SVC003,Extended Warranty,No Return,25-36m,MDL002,VAR010,1,0,19964,0
2024-04-01,SVC003,Extended Warranty,No Return,4-6m,MDL006,VAR033,1,0,4612,0
2024-04-01,SVC003,Extended Warranty,No Return,4-6m,MDL006,VAR036,1,0,9464,0
2024-04-01,SVC003,Extended Warranty,No Return,7-12m,MDL002,VAR009,1,0,31194,0
2024-04-01,SVC003,Extended Warranty,No Return,7-12m,MDL003,VAR018,1,0,19116,0
2024-04-01,SVC003,Goodwill,No Return,13-24m,MDL007,VAR037,1,0,25684,0
2024-04-01,SVC003,Goodwill,No Return,4-6m,MDL003,VAR014,1,0,6693,0
2024-04-01,SVC003,Goodwill,No Return,4-6m,MDL005,VAR030,1,0,33591,0
2024-04-01,SVC003,Goodwill,No Return,7-12m,MDL001,VAR004,1,0,19849,0
2024-04-01,SVC003,Goodwill,No Return,7-12m,MDL003,VAR015,1,0,37494,0
2024-04-01,SVC003,No Claim,Customer Cancellation,7-12m,MDL001,VAR004,0,1,0,360501
2024-04-01,SVC003,No Claim,Customer Cancellation,7-12m,MDL004,VAR022,0,1,0,419161
2024-04-01,SVC003,No Claim,Documentation Issue,4-6m,MDL003,VAR013,0,1,0,32857
2024-04-01,SVC003,No Claim,Documentation Issue,7-12m,MDL002,VAR010,0,1,0,361171
2024-04-01,SVC003,No Claim,Exchange,0-3m,MDL005,VAR028,0,1,0,250265
2024-04-01,SVC003,No Claim,Exchange,4-6m,MDL004,VAR019,0,1,0,32873
2024-04-01,SVC003,No Claim,Incorrect Variant,4-6m,MDL002,VAR007,0,1,0,215142
2024-04-01,SVC003,No Claim,Quality Concern,7-12m,MDL003,VAR016,0,1,0,75952
2024-04-01,SVC003,No Claim,Quality Concern,7-12m,MDL005,VAR025,0,1,0,316534
2024-04-01,SVC003,Recall,No Return,0-3m,MDL002,VAR007,1,0,15542,0
2024-04-01,SVC003,Recall,No Return,13-24m,MDL002,VAR012,1,0,35828,0
2024-04-01,SVC003,Recall,No Return,13-24m,MDL004,VAR020,1,0,31448,0
2024-04-01,SVC003,Recall,No Return,25-36m,MDL005,VAR027,1,0,3877,0
2024-04-01,SVC003,Recall,No Return,25-36m,MDL005,VAR028,1,0,15580,0
2024-04-01,SVC003,Recall,No Return,25-36m,MDL005,VAR029,1,0,29469,0
2024-04-01,SVC003,Recall,No Return,4-6m,MDL006,VAR032,1,0,15778,0
2024-04-01,SVC003,Recall,No Return,7-12m,MDL004,VAR023,1,0,42251,0
2024-04-01,SVC003,Standard Warranty,No Return,0-3m,MDL001,VAR006,1,0,43567,0
2024-04-01,SVC003,Standard Warranty,No Return,0-3m,MDL003,VAR013,1,0,10335,0
2024-04-01,SVC003,Standard Warranty,No Return,0-3m,MDL006,VAR035,1,0,22275,0
2024-04-01,SVC003,Standard Warranty,No Return,13-24m,MDL004,VAR019,1,0,31618,0
2024-04-01,SVC003,Standard Warranty,No Return,13-24m,MDL004,VAR024,1,0,30176,0
2024-04-01,SVC003,Standard Warranty,No Return,13-24m,MDL005,VAR025,1,0,16626,0
2024-04-01,SVC003,Standard Warranty,No Return,25-36m,MDL002,VAR011,1,0,17768,0
2024-04-01,SVC003,Standard Warranty,No Return,25-36m,MDL004,VAR021,1,0,33888,0
2024-04-01,SVC003,Standard Warranty,No Return,4-6m,MDL003,VAR016,1,0,9855,0
2024-04-01,SVC003,Standard Warranty,No Return,4-6m,MDL006,VAR031,1,0,37591,0
2024-04-01,SVC003,Standard Warranty,No Return,7-12m,MDL001,VAR005,1,0,4044,0
2024-04-01,SVC003,Standard Warranty,No Return,7-12m,MDL005,VAR026,1,0,25404,0
2024-04-01,SVC003,Standard Warranty,No Return,7-12m,MDL006,VAR034,1,0,41489,0
2024-04-01,SVC004,Extended Warranty,No Return,0-3m,MDL001,VAR005,1,0,25735,0
2024-04-01,SVC004,Extended Warranty,No Return,0-3m,MDL004,VAR020,1,0,2773,0
2024-04-01,SVC004,Extended Warranty,No Return,0-3m,MDL005,VAR028,1,0,41820,0
2024-04-01,SVC004,Extended Warranty,No Return,13-24m,MDL006,VAR031,1,0,34008,0
2024-04-01,SVC004,Extended Warranty,No Return,25-36m,MDL003,VAR014,1,0,5731,0
2024-04-01,SVC004,Goodwill,No Return,0-3m,MDL003,VAR016,1,0,27565,0
2024-04-01,SVC004,Goodwill,No Return,25-36m,MDL002,VAR010,1,0,42655,0
2024-04-01,SVC004,Goodwill,No Return,25-36m,MDL005,VAR026,1,0,34835,0
2024-04-01,SVC004,Goodwill,No Return,4-6m,MDL004,VAR024,1,0,29874,0
2024-04-01,SVC004,Goodwill,No Return,7-12m,MDL002,VAR011,1,0,21437,0
2024-04-01,SVC004,No Claim,Documentation Issue,0-3m,MDL001,VAR005,0,1,0,384643
2024-04-01,SVC004,No Claim,Documentation Issue,0-3m,MDL002,VAR008,0,1,0,94730
2024-04-01,SVC004,No Claim,Incorrect Variant,7-12m,MDL003,VAR014,0,1,0,128056
2024-04-01,SVC004,No Claim,Quality Concern,0-3m,MDL002,VAR011,0,1,0,149535
2024-04-01,SVC004,No Claim,Transit Damage,4-6m,MDL004,VAR020,0,1,0,360066
2024-04-01,SVC004,No Claim,Transit Damage,7-12m,MDL003,VAR017,0,1,0,343543
2024-04-01,SVC004,Recall,No Return,13-24m,MDL004,VAR022,1,0,33317,0
2024-04-01,SVC004,Recall,No Return,13-24m,MDL004,VAR023,1,0,33946,0
2024-04-01,SVC004,Recall,No Return,13-24m,MDL005,VAR030,1,0,31142,0
2024-04-01,SVC004,Recall,No Return,25-36m,MDL002,VAR008,1,0,16095,0
2024-04-01,SVC004,Recall,No Return,4-6m,MDL003,VAR017,1,0,16385,0
2024-04-01,SVC004,Recall,No Return,4-6m,MDL004,VAR021,1,0,38839,0
2024-04-01,SVC004,Recall,No Return,7-12m,MDL006,VAR032,1,0,37594,0
2024-04-01,SVC004,Standard Warranty,No Return,0-3m,MDL001,VAR006,1,0,22307,0
2024-04-01,SVC004,Standard Warranty,No Return,0-3m,MDL005,VAR029,1,0,4960,0
2024-04-01,SVC004,Standard Warranty,No Return,13-24m,MDL002,VAR009,1,0,22493,0
2024-04-01,SVC004,Standard Warranty,No Return,13-24m,MDL003,VAR018,1,0,3382,0
2024-04-01,SVC004,Standard Warranty,No Return,13-24m,MDL005,VAR025,1,0,19045,0
2024-04-01,SVC004,Standard Warranty,No Return,13-24m,MDL005,VAR027,1,0,38384,0
2024-04-01,SVC004,Standard Warranty,No Return,4-6m,MDL002,VAR007,1,0,7776,0
2024-04-01,SVC004,Standard Warranty,No Return,4-6m,MDL002,VAR012,1,0,6950,0
2024-04-01,SVC004,Standard Warranty,No Return,7-12m,MDL003,VAR013,1,0,35571,0
2024-04-01,SVC004,Standard Warranty,No Return,7-12m,MDL003,VAR015,1,0,40722,0
2024-04-01,SVC004,Standard Warranty,No Return,7-12m,MDL004,VAR019,1,0,17393,0
2024-04-01,SVC005,Extended Warranty,No Return,25-36m,MDL003,VAR016,1,0,6413,0
2024-04-01,SVC005,Extended Warranty,No Return,4-6m,MDL003,VAR014,1,0,20960,0
2024-04-01,SVC005,Extended Warranty,No Return,4-6m,MDL003,VAR018,1,0,17553,0
2024-04-01,SVC005,Extended Warranty,No Return,7-12m,MDL004,VAR019,1,0,20246,0
2024-04-01,SVC005,Goodwill,No Return,0-3m,MDL002,VAR010,1,0,27532,0
2024-04-01,SVC005,Goodwill,No Return,13-24m,MDL004,VAR020,1,0,2180,0
2024-04-01,SVC005,Goodwill,No Return,25-36m,MDL002,VAR007,1,0,36134,0
2024-04-01,SVC005,Goodwill,No Return,25-36m,MDL002,VAR012,1,0,40721,0
2024-04-01,SVC005,Goodwill,No Return,25-36m,MDL004,VAR024,1,0,36701,0
2024-04-01,SVC005,Goodwill,No Return,25-36m,MDL005,VAR025,1,0,7687,0
2024-04-01,SVC005,Goodwill,No Return,4-6m,MDL003,VAR013,1,0,3566,0
2024-04-01,SVC005,Goodwill,No Return,4-6m,MDL005,VAR026,1,0,14050,0
2024-04-01,SVC005,Goodwill,No Return,7-12m,MDL003,VAR017,1,0,10722,0
2024-04-01,SVC005,No Claim,Exchange,4-6m,MDL003,VAR015,0,1,0,356497
2024-04-01,SVC005,No Claim,Exchange,7-12m,MDL002,VAR012,0,1,0,203684
2024-04-01,SVC005,No Claim,Incorrect Variant,0-3m,MDL004,VAR021,0,1,0,347067
2024-04-01,SVC005,No Claim,Quality Concern,0-3m,MDL001,VAR006,0,1,0,158851
2024-04-01,SVC005,No Claim,Transit Damage,4-6m,MDL002,VAR009,0,1,0,375192
2024-04-01,SVC005,No Claim,Transit Damage,4-6m,MDL003,VAR018,0,1,0,104125
2024-04-01,SVC005,Recall,No Return,0-3m,MDL002,VAR008,1,0,27249,0
2024-04-01,SVC005,Recall,No Return,0-3m,MDL004,VAR022,1,0,30988,0
2024-04-01,SVC005,Recall,No Return,7-12m,MDL002,VAR009,1,0,32424,0
2024-04-01,SVC005,Recall,No Return,7-12m,MDL003,VAR015,1,0,16338,0
2024-04-01,SVC005,Standard Warranty,No Return,0-3m,MDL004,VAR021,1,0,35921,0
2024-04-01,SVC005,Standard Warranty,No Return,13-24m,MDL004,VAR023,1,0,40538,0
2024-04-01,SVC005,Standard Warranty,No Return,4-6m,MDL001,VAR006,1,0,43177,0
2024-04-01,SVC005,Standard Warranty,No Return,7-12m,MDL002,VAR011,1,0,20424,0
2024-04-01,SVC006,Extended Warranty,No Return,0-3m,MDL002,VAR012,1,0,35122,0
2024-04-01,SVC006,Extended Warranty,No Return,0-3m,MDL003,VAR016,1,0,14982,0
2024-04-01,SVC006,Extended Warranty,No Return,13-24m,MDL002,VAR007,1,0,17406,0
2024-04-01,SVC006,Extended Warranty,No Return,25-36m,MDL005,VAR026,1,0,34089,0
2024-04-01,SVC006,Extended Warranty,No Return,4-6m,MDL005,VAR029,1,0,5889,0
2024-04-01,SVC006,Extended Warranty,No Return,7-12m,MDL004,VAR020,1,0,3554,0
2024-04-01,SVC006,Goodwill,No Return,0-3m,MDL002,VAR009,1,0,35279,0
2024-04-01,SVC006,Goodwill,No Return,13-24m,MDL004,VAR021,1,0,17011,0
2024-04-01,SVC006,Goodwill,No Return,25-36m,MDL005,VAR025,1,0,34670,0
2024-04-01,SVC006,Goodwill,No Return,7-12m,MDL003,VAR018,1,0,32751,0
2024-04-01,SVC006,Goodwill,No Return,7-12m,MDL005,VAR027,1,0,18118,0
2024-04-01,SVC006,Goodwill,No Return,7-12m,MDL005,VAR028,1,0,25188,0
2024-04-01,SVC006,Goodwill,No Return,7-12m,MDL005,VAR030,1,0,30777,0
2024-04-01,SVC006,No Claim,Incorrect Variant,0-3m,MDL002,VAR010,0,1,0,35242
2024-04-01,SVC006,No Claim,Incorrect Variant,7-12m,MDL004,VAR019,0,1,0,224655
2024-04-01,SVC006,No Claim,Quality Concern,4-6m,MDL003,VAR016,0,1,0,131828
2024-04-01,SVC006,No Claim,Transit Damage,0-3m,MDL003,VAR013,0,1,0,435994
2024-04-01,SVC006,No Claim,Transit Damage,4-6m,MDL002,VAR007,0,1,0,41722
2024-04-01,SVC006,No Claim,Transit Damage,7-12m,MDL004,VAR022,0,1,0,190528
2024-04-01,SVC006,Recall,No Return,0-3m,MDL002,VAR008,1,0,35741,0
2024-04-01,SVC006,Recall,No Return,0-3m,MDL003,VAR013,1,0,18484,0
2024-04-01,SVC006,Recall,No Return,0-3m,MDL006,VAR032,1,0,9155,0
2024-04-01,SVC006,Recall,No Return,13-24m,MDL002,VAR010,1,0,19507,0
2024-04-01,SVC006,Recall,No Return,4-6m,MDL004,VAR024,1,0,5933,0
2024-04-01,SVC006,Recall,No Return,4-6m,MDL006,VAR033,1,0,25508,0
2024-04-01,SVC006,Standard Warranty,No Return,0-3m,MDL003,VAR014,1,0,22529,0
2024-04-01,SVC006,Standard Warranty,No Return,0-3m,MDL004,VAR023,1,0,13321,0
2024-04-01,SVC006,Standard Warranty,No Return,13-24m,MDL002,VAR011,1,0,26313,0
2024-04-01,SVC006,Standard Warranty,No Return,13-24m,MDL003,VAR017,1,0,5040,0
2024-04-01,SVC006,Standard Warranty,No Return,4-6m,MDL003,VAR015,1,0,31593,0
2024-04-01,SVC006,Standard Warranty,No Return,4-6m,MDL004,VAR019,1,0,22184,0
2024-04-01,SVC006,Standard Warranty,No Return,7-12m,MDL004,VAR022,1,0,38241,0
2024-04-01,SVC006,Standard Warranty,No Return,7-12m,MDL006,VAR031,1,0,40267,0
2024-04-01,SVC007,Extended Warranty,No Return,0-3m,MDL004,VAR022,1,0,43535,0
2024-04-01,SVC007,Extended Warranty,No Return,13-24m,MDL003,VAR015,1,0,37258,0
2024-04-01,SVC007,Extended Warranty,No Return,13-24m,MDL003,VAR016,1,0,30843,0
2024-04-01,SVC007,Extended Warranty,No Return,25-36m,MDL002,VAR011,1,0,36891,0
2024-04-01,SVC007,Extended Warranty,No Return,25-36m,MDL004,VAR023,1,0,19616,0
2024-04-01,SVC007,Extended Warranty,No Return,4-6m,MDL004,VAR021,1,0,16917,0
2024-04-01,SVC007,Extended Warranty,No Return,4-6m,MDL005,VAR025,1,0,38334,0
2024-04-01,SVC007,Goodwill,No Return,0-3m,MDL002,VAR009,1,0,23511,0
2024-04-01,SVC007,Goodwill,No Return,13-24m,MDL004,VAR019,1,0,4887,0
2024-04-01,SVC007,Goodwill,No Return,25-36m,MDL002,VAR008,1,0,34488,0
2024-04-01,SVC007,Goodwill,No Return,25-36m,MDL002,VAR012,1,0,24539,0
2024-04-01,SVC007,Goodwill,No Return,25-36m,MDL004,VAR024,1,0,23040,0
2024-04-01,SVC007,Goodwill,No Return,7-12m,MDL003,VAR014,1,0,36630,0
2024-04-01,SVC007,Goodwill,No Return,7-12m,MDL004,VAR020,1,0,5075,0
2024-04-01,SVC007,Goodwill,No Return,7-12m,MDL005,VAR026,1,0,9022,0
2024-04-01,SVC007,Goodwill,No Return,7-12m,MDL005,VAR028,1,0,18007,0
2024-04-01,SVC007,No Claim,Documentation Issue,0-3m,MDL004,VAR023,0,1,0,140692
2024-04-01,SVC007,No Claim,Documentation Issue,0-3m,MDL005,VAR026,0,1,0,134972
2024-04-01,SVC007,No Claim,Incorrect Variant,4-6m,MDL002,VAR011,0,1,0,390400
2024-04-01,SVC007,No Claim,Incorrect Variant,4-6m,MDL003,VAR014,0,1,0,397526
2024-04-01,SVC007,No Claim,Incorrect Variant,4-6m,MDL003,VAR017,0,1,0,227445
2024-04-01,SVC007,No Claim,Transit Damage,0-3m,MDL004,VAR020,0,1,0,167962
2024-04-01,SVC007,No Claim,Transit Damage,4-6m,MDL002,VAR008,0,1,0,75564
2024-04-01,SVC007,No Claim,Transit Damage,7-12m,MDL005,VAR029,0,1,0,419345
2024-04-01,SVC007,Recall,No Return,13-24m,MDL003,VAR017,1,0,2049,0
2024-04-01,SVC007,Recall,No Return,4-6m,MDL005,VAR030,1,0,3648,0
2024-04-01,SVC007,Recall,No Return,7-12m,MDL002,VAR010,1,0,11912,0
2024-04-01,SVC007,Recall,No Return,7-12m,MDL005,VAR027,1,0,32906,0
2024-04-01,SVC007,Standard Warranty,No Return,0-3m,MDL003,VAR018,1,0,32978,0
2024-04-01,SVC007,Standard Warranty,No Return,0-3m,MDL005,VAR029,1,0,4048,0
2024-04-01,SVC007,Standard Warranty,No Return,4-6m,MDL003,VAR013,1,0,24727,0
2024-04-01,SVC008,Extended Warranty,No Return,25-36m,MDL006,VAR031,1,0,27031,0
2024-04-01,SVC008,Extended Warranty,No Return,4-6m,MDL004,VAR023,1,0,42101,0
2024-04-01,SVC008,Extended Warranty,No Return,7-12m,MDL002,VAR010,1,0,17732,0
2024-04-01,SVC008,Extended Warranty,No Return,7-12m,MDL002,VAR011,1,0,30322,0
2024-04-01,SVC008,Extended Warranty,No Return,7-12m,MDL005,VAR029,1,0,36347,0
2024-04-01,SVC008,Goodwill,No Return,0-3m,MDL003,VAR014,1,0,24478,0
2024-04-01,SVC008,Goodwill,No Return,0-3m,MDL004,VAR024,1,0,15943,0
2024-04-01,SVC008,Goodwill,No Return,13-24m,MDL003,VAR017,1,0,25072,0
2024-04-01,SVC008,Goodwill,No Return,13-24m,MDL005,VAR028,1,0,6216,0
2024-04-01,SVC008,Goodwill,No Return,25-36m,MDL003,VAR015,1,0,42663,0
2024-04-01,SVC008,Goodwill,No Return,4-6m,MDL005,VAR026,1,0,24378,0
2024-04-01,SVC008,No Claim,Customer Cancellation,4-6m,MDL003,VAR018,0,1,0,90608
2024-04-01,SVC008,No Claim,Exchange,0-3m,MDL003,VAR015,0,1,0,267946
2024-04-01,SVC008,No Claim,Exchange,7-12m,MDL004,VAR024,0,1,0,114825
2024-04-01,SVC008,No Claim,Incorrect Variant,0-3m,MDL002,VAR009,0,1,0,352550
2024-04-01,SVC008,No Claim,Quality Concern,0-3m,MDL002,VAR012,0,1,0,237337
2024-04-01,SVC008,No Claim,Transit Damage,4-6m,MDL004,VAR021,0,1,0,42862
2024-04-01,SVC008,Recall,No Return,0-3m,MDL005,VAR025,1,0,8259,0
2024-04-01,SVC008,Recall,No Return,0-3m,MDL005,VAR030,1,0,30900,0
2024-04-01,SVC008,Recall,No Return,13-24m,MDL002,VAR009,1,0,36845,0
2024-04-01,SVC008,Recall,No Return,4-6m,MDL004,VAR021,1,0,11291,0
2024-04-01,SVC008,Recall,No Return,4-6m,MDL004,VAR022,1,0,18856,0
2024-04-01,SVC008,Recall,No Return,7-12m,MDL003,VAR013,1,0,31474,0
2024-04-01,SVC008,Recall,No Return,7-12m,MDL005,VAR027,1,0,4531,0
2024-04-01,SVC008,Standard Warranty,No Return,0-3m,MDL004,VAR020,1,0,25298,0
2024-04-01,SVC008,Standard Warranty,No Return,13-24m,MDL003,VAR016,1,0,39606,0
2024-04-01,SVC008,Standard Warranty,No Return,25-36m,MDL003,VAR018,1,0,29091,0
2024-04-01,SVC008,Standard Warranty,No Return,25-36m,MDL004,VAR019,1,0,18100,0
2024-04-01,SVC008,Standard Warranty,No Return,7-12m,MDL002,VAR012,1,0,7544,0
2024-04-01,SVC009,Extended Warranty,No Return,0-3m,MDL003,VAR017,1,0,8389,0
2024-04-01,SVC009,Extended Warranty,No Return,25-36m,MDL004,VAR024,1,0,28424,0
2024-04-01,SVC009,Extended Warranty,No Return,25-36m,MDL005,VAR029,1,0,26796,0
2024-04-01,SVC009,Extended Warranty,No Return,25-36m,MDL007,VAR041,1,0,12994,0
2024-04-01,SVC009,Extended Warranty,No Return,4-6m,MDL006,VAR033,1,0,42438,0
2024-04-01,SVC009,Goodwill,No Return,0-3m,MDL002,VAR010,1,0,4790,0
2024-04-01,SVC009,Goodwill,No Return,0-3m,MDL005,VAR025,1,0,29280,0
2024-04-01,SVC009,Goodwill,No Return,13-24m,MDL002,VAR012,1,0,43612,0
